AGCnr,srcname,RADecpoint,wappname1,wappname2,wappname3,#pr,d/n,quad,cont,ord,Xsmo,rms,fit,W50,Werr,Vsys,Flux,SN,Wqual,Comment
322546,S223739.9+345323,223739.9+345323,wapp.20150903.a2982.0001,""" """,""" """,1,n,2,1.71287,1,H3,1.06536,0,0,0,0,0,0,U,"some spike, but far too noisy to measure any of it "
322546,S223739.9+345323,223739.9+345323,wapp.20150903.a2982.0001,""" """,""" """,1,n,4,3.74363,2,H3,1.16828,0,0,0,0,0,0,Y,
322547,S223742.8+351857,223742.8+351857,wapp.20151128.a2982.0005,wapp.20151124.a2982.0004,""" """,2,n,3,-11.202,0,H3,0.782426,0,0,0,0,0,0,Y,"removed the GPS from the second file, and the second file was still very erratic, too choppy to confidently say any real signal"
322547,S223742.8+351857,223742.8+351857,wapp.20151128.a2982.0005,wapp.20151124.a2982.0004,""" """,2,n,1,-12.669,2,H3,0.781292,0,0,0,0,0,0,Y,
322547,S223742.8+351857,223742.8+351857,wapp.20151128.a2982.0005,wapp.20151124.a2982.0004,""" """,2,n,2,-12.3354,3,H3,0.999856,0,0,0,0,0,0,Y,"spike in the off direction around 7000 again, I changed it from fourth to third order"
322547,S223742.8+351857,223742.8+351857,wapp.20151128.a2982.0005,wapp.20151124.a2982.0004,""" """,2,n,4,-8.135,1,H3,0.951042,0,0,0,0,0,0,Y,
322553,S223858.2+340304,223858.2+340304, wapp.20151130.a2982.0005,wapp.20151124.a2982.0006,""" """,2,n,1,-13.6499,2,H3,0.698638,0,0,0,0,0,0,Y,spike at 600 km/s in the off direction
322553,S223858.2+340304,223858.2+340304, wapp.20151130.a2982.0005,wapp.20151124.a2982.0006,""" """,2,d,2,-15.6936,0,H3,0.699809,2P,196.15477,21.754008,7465.0774,1.040914,17.509749,Y,big peak compared to rest 
322553,S223858.2+340304,223858.2+340304, wapp.20151130.a2982.0005,wapp.20151124.a2982.0006,""" """,2,n,3,-18.4666,2,H3,0.923757,0,0,0,0,0,0,Y,take gps out of the second wappfile here
322553,S223858.2+340304,223858.2+340304, wapp.20151130.a2982.0005,wapp.20151124.a2982.0006,""" """,2,n,4,-12.1134,2,H3,0.819825,0,0,0,0,0,0,Y,
322564,S223909.4+335954,22399.4+335954,wapp.20151126.a2982.0004,wapp.20151115.a2982.0003,wapp.20151025.a2982.0010,3,d?,3,-11.896,0,H3,0.608747,0,0,0,0,0,0,U,"did not use the middle wappfile due to the overabundance of noisy versus the other two wappfiles, det at 8350??"
322564,S223909.4+335954,22399.4+335954,wapp.20151126.a2982.0004,wapp.20151115.a2982.0003,wapp.20151025.a2982.0010,3,n,1,-12.0936,1,H3,0.974182,0,0,0,0,0,0,Y,
322564,S223909.4+335954,22399.4+335954,wapp.20151126.a2982.0004,wapp.20151115.a2982.0003,wapp.20151025.a2982.0010,3,n,2,-12.8073,1,H3,0.971204,0,0,0,0,0,0,Y,i didnt take out the gps because the effect was so miniscule
322564,S223909.4+335954,22399.4+335954,wapp.20151126.a2982.0004,wapp.20151115.a2982.0003,wapp.20151025.a2982.0010,3,n,4,-17.1754,1,H3,1.00687,0,0,0,0,0,0,Y,take out gps 
323052,S223922.7+340207,223922.7+340207,wapp.20151025.a2982.0011,""" """,""" """,1,n,2,-2.87407,1,H3+B5,1.21713,0,0,0,0,0,0,U,"It dipped down an awful lot, I wonder if it was just some sort of noise that made it look bigger on the right edge"
323052,S223922.7+340207,223922.7+340207,wapp.20151025.a2982.0011,""" """,""" """,1,n,1,-0.687294,1,H3,1.0666,0,0,0,0,0,0,Y,
