AGCnr,radeg,decdeg,a,b,zmag,vopt,hiflux,rms,v21,width,widtherr,snr,hisrc,vhelagc, rawrap
102921,8.47375,28.764166,0.4,0.35,18,0,1.23,2.3,3721,84,9,13.2,75,3721,8.47375
334,8.478334,31.450001,2,2,15.7,4633,6.2,2.2,4625,126,2,55.2,75,4625,8.478334
333,8.492084,48.950832,1.3,1.1,15.7,5214,4.81,3.4,5210,132,10,12.8,56,5210,8.492084
104421,8.507501,23.410555,0.3,0.25,18.2,0,0,0,11700,0,0,0,78,11700,8.507501
104543,8.5175,36.174446,0.25,0.2,18.5,0,0.83,2.8,4809,43,9,9.8,75,4809,8.5175
102260,8.518332,26.304722,0.4,0.2,19,0,1.14,2.3,7199,161,6,8.9,75,7199,8.518332
102782,8.525833,29.947222,0.4,0.15,17.5,0,1.51,2.3,5390,140,5,12.5,75,5390,8.525833
336,8.532084,44.144726,1.7,1.6,15.6,5646,3.28,4.1,5627,240,25,5.1,56,5646,8.532084
102658,8.564166,25.028889,0.5,0.3,17,0,1.01,2.1,5537,234,15,7.1,75,5537,8.564166
101834,8.582084,27.035833,0,0,18,4105,0,0,0,0,0,0,0,4105,8.582084
102922,8.5875,29.0525,0.2,0.2,17,17015,0.98,2.3,17034,165,19,7.5,75,17034,8.5875
338,8.591249,39.60083,1,0.2,15.5,5863,0,0,0,0,0,0,0,5863,8.591249
102659,8.602083,24.361944,0.8,0.35,16,0,3,2.3,12874,620,85,9.5,75,12874,8.602083
337,8.603333,24.603611,1.2,1.1,16.5,5283,5.7,2.2,5334,144,13,48.7,75,5334,8.603333
100308,8.62375,30.397499,0.8,0.55,15.8,6087,1.09,2.3,5885,134,8,9.2,75,5885,8.62375
100808,8.66375,39.577499,0.3,0.25,16.5,5804,0,0,0,0,0,0,0,5804,8.66375
103381,8.6925,22.779444,0.9,0.4,16.5,5835,1.28,2.2,5829,118,2,12.1,75,5829,8.6925
102783,8.699583,31.708334,0.6,0.2,16.5,0,3.65,2.4,6351,161,7,27,75,6351,8.699583
345,8.703751,28.41,1.1,0.25,15.6,4177,4.33,2.3,4178,182,3,30.5,75,4178,8.703751
344,8.713333,39.544724,1.2,0.7,15.4,5804,5.73,2.2,5788,232,5,14.6,63,5788,8.713333
104592,8.717084,32.094444,0.3,0.2,18.5,0,0.57,1.8,5971,121,8,6.3,75,5971,8.717084
346,8.733334,31.94861,1.1,0.5,14.8,5871,1.19,1.9,5912,293,6,8.3,75,5912,8.733334
100315,8.749166,24.856112,0.4,0.3,18.3,0,0.61,0,5480,121,0,0,18,5480,8.749166
102784,8.77,31.477222,0.58,0.21,15.8,0,1.31,2.3,6059,358,79,6.6,75,6059,8.77
347,8.775416,45.529167,1,0.2,16.5,0,0,0,5103,0,0,0,66,5103,8.775416
100317,8.783333,23.317501,0.4,0.3,15.1,11329,1.37,2.7,11344,154,5,9.2,75,11344,8.783333
103059,8.793333,23.254999,0,0,17.4,11032,0,0,0,0,0,0,0,11032,8.793333
100320,8.8025,29.799444,0.6,0.35,15,6972,0.58,2.3,6987,211,12,3.9,75,6987,8.8025
103382,8.88,23.257778,0.7,0.65,16,0,1.42,2.6,11334,62,5,15.6,75,11334,8.88
100862,8.88125,36.500557,4.5,3,15,-351,0,0,0,0,0,0,0,-351,8.88125
100323,8.912916,25.67861,0.7,0.3,15.7,9838,0.67,1.8,9844,131,14,7,75,9844,8.912916
102785,8.932083,31.820557,0.35,0.2,17,0,1.32,2.2,5789,295,14,7.7,75,5789,8.932083
102261,8.934999,26.615833,0.5,0.25,16.5,0,0.97,2.1,10082,215,23,7.1,75,10082,8.934999
352,8.944166,24.237223,1.4,0.9,16.5,5153,2.07,2.3,5149,171,14,15.3,75,5149,8.944166
104995,8.963749,28.830278,0.5,0.3,16.5,0,0,0,10700,0,0,0,78,10700,8.963749
355,8.9825,31.870556,1.2,0.35,14.5,6356,1.79,2,6349,402,6,10.2,75,6349,8.9825
354,8.99125,24.0375,1,0.3,16,5617,1.36,2.4,5612,225,8,8.4,75,5612,8.99125
101852,8.992917,25.681665,0,0,0,10272,0,0,0,0,0,0,0,10272,8.992917
356,9.016666,23.958612,3,1.6,13.7,5327,3.84,2.2,5247,533,3,14.5,75,5247,9.016666
101853,9.020834,25.82889,0,0,0,10420,0,0,0,0,0,0,0,10420,9.020834
102786,9.030833,30.014999,0.72,0.12,16.1,0,1.2,2.2,7546,204,12,8.4,75,7546,9.030833
101835,9.03625,25.751112,0.39,0.2,16.5,9944,0,0,0,0,0,0,0,9944,9.03625
104546,9.039583,35.583889,0.7,0.22,17,0,1.2,1.9,11468,258,16,8.9,75,11468,9.039583
357,9.042084,21.464167,1.3,0.6,15.6,9265,2.4,1.1,9267,282,1,13.1,52,9267,9.042084
102960,9.070834,28.745277,0.5,0.22,17,10815,0,0,0,0,0,0,75,10815,9.070834
100329,9.07625,32.903057,0.9,0.4,15.2,4877,1.3,3.6,4866,178,43,6.1,75,4866,9.07625
360,9.080418,25.807499,0.7,0.5,16,9760,0,0,0,0,0,0,0,9760,9.080418
100886,9.087501,45.664169,0,0,15.3,14283,0,0,0,0,0,0,0,14283,9.087501
361,9.104167,49.013054,1.2,1,15.7,12079,0,0,0,0,0,0,0,12079,9.104167
100330,9.10875,45.675003,0,0,15.3,14293,0,0,0,0,0,0,0,14293,9.10875
102262,9.123334,26.904722,0.7,0.25,18,0,0.77,2.2,5222,147,9,6.3,75,5222,9.123334
362,9.142084,32.746387,1.2,0.9,17,6062,1.83,2.2,6067,175,4,14.1,75,6067,9.142084
103383,9.159584,22.861389,0.4,0.1,16.5,0,0.76,2.2,7581,141,11,6.4,75,7581,9.159584
102923,9.164166,28.816668,0.51,0.14,17,0,1.74,2.1,10611,248,35,11.9,75,10611,9.164166
104518,9.17625,36.124722,0.4,0.25,18.5,0,0,0,4900,0,0,0,75,4900,9.17625
103992,9.1775,21.628334,0.2,0.15,18.2,0,2.37,2.7,9290,337,6,10.8,75,9290,9.1775
104547,9.178333,35.7775,0.25,0.2,17.8,0,0.68,2,5937,101,7,7.6,75,5937,9.178333
100335,9.179585,21.607779,0.5,0.3,15.6,9247,2.17,2,9257,309,15,5.4,52,9257,9.179585
104429,9.184167,30.657778,0.4,0.15,17.8,0,0,0,4500,0,0,0,78,4500,9.184167
100336,9.185834,30.831112,0.75,0.35,15.6,0,1.69,2.5,5940,230,9,10,75,5940,9.185834
101010,9.187083,20.60639,0.3,0.1,17.5,14722,1.38,2.4,14628,273,8,7.6,75,14628,9.187083
364,9.187917,21.566387,1.2,0.45,14.5,8925,4.66,1.3,8910,533,5,11.4,52,8910,9.187917
100338,9.214583,39.64389,0,0,0,5721,0,0,0,0,0,0,0,5721,9.214583
365,9.214583,23.991388,3.5,1.1,13.7,4570,8.04,2.3,4607,592,9,26.6,75,4607,9.214583
100340,9.217917,23.984722,0.7,0.35,14.1,4595,0,0,0,0,0,0,0,4595,9.217917
366,9.231668,28.893888,1.2,0.9,16,10387,0,0,0,0,0,0,0,10387,9.231668
101836,9.235417,25.715834,0,0,0,9238,0,0,0,0,0,0,0,9238,9.235417
102710,9.26375,25.64889,0.6,0.15,16.5,0,0.6,1.5,7098,181,23,0,78,7098,9.26375
367,9.272083,25.69972,1.7,1.7,14.8,9548,0,0,0,0,0,0,0,9548,9.272083
100345,9.280833,28.832779,0.7,0.35,15,1974,4.84,2.4,1984,73,6,52.6,75,1984,9.280833
100888,9.284167,25.693054,0.8,0.8,14.8,9667,0,0,0,0,0,0,0,9667,9.284167
102660,9.285833,24.915277,0.6,0.3,16,0,1.01,2.3,5145,188,17,7.2,75,5145,9.285833
104762,9.292916,23.559999,0.25,0.17,18,0,0,0,10700,0,0,0,78,10700,9.292916
100347,9.298333,25.839167,0.45,0.35,15.3,8954,0.96,2.6,9025,128,26,7.4,75,9025,9.298333
100346,9.300417,35.9025,0.6,0.2,15.5,4433,2.01,1.9,4436,95,10,24.2,75,4436,9.300417
100873,9.310417,25.719444,0,0,0,10457,0,0,0,0,0,0,0,10457,9.310417
371,9.338333,29.14889,1.8,0.15,15,5276,3.84,2.3,5275,320,12,21,75,5275,9.338333
104996,9.36125,33.384724,0.6,0.3,17.8,0,0,0,6200,0,0,0,78,6200,9.36125
372,9.36625,42.903614,2.3,2.1,17,5418,3.18,4.5,5403,123,19,6.5,56,5403,9.36625
100348,9.3975,39.838055,0,0,0,16841,0,0,0,0,0,0,0,16841,9.3975
101837,9.403333,31.06889,0.2,0.1,18.2,5825,0,0,0,0,0,0,0,5825,9.403333
102853,9.416667,31.074722,0.15,0.1,17.5,0,0,0,5800,0,0,0,78,5800,9.416667
102317,9.417084,25.613056,0,0,15.7,7239,0,0,0,0,0,0,0,7239,9.417084
375,9.432084,25.640833,1.2,1.2,15,7231,0,0,0,0,0,0,0,7231,9.432084
100350,9.43375,24.207779,0.4,0.2,18.3,0,0.83,2.1,4653,107,13,8.5,75,4653,9.43375
103213,9.441251,37.4025,0,0,0,16011,0,0,0,0,0,0,0,16011,9.441251
376,9.475416,32.688889,1.4,0.1,16,4817,6.13,2.2,4821,209,2,43.2,75,4821,9.475416
102661,9.500417,25.568335,0.4,0.1,17,0,0.93,1.7,7772,171,18,9.5,75,7772,9.500417
104962,9.514167,29.415833,0.5,0.22,17,0,0,0,5300,0,0,0,78,5300,9.514167
101771,9.548333,25.395277,0.65,0.51,16.5,0,1.94,2.1,5195,99,13,20.9,75,5195,9.548333
381,9.55125,30.890833,1.6,1.2,15.3,5485,0,0,0,0,0,0,0,5485,9.55125
102662,9.589583,25.613056,0.45,0.1,16.5,0,1.23,2.3,9915,275,29,7.1,75,9915,9.589583
384,9.592083,32.637779,1.9,1.7,14.9,4702,4.67,2.3,4703,197,2,32.8,75,4703,9.592083
100362,9.596251,29.472223,0.8,0.2,15.4,5531,0.85,0.6,5567,403,10,6,52,5567,9.596251
102229,9.599999,25.43611,0.4,0.3,18,0,1.74,1.9,3314,82,8,22.5,75,3314,9.599999
101012,9.612083,48.737778,0,0,0,12487,0,0,0,0,0,0,0,12487,9.612083
100364,9.6175,29.625,1,0.3,15.2,5657,0.7,2.3,5696,169,9,5.2,75,5696,9.6175
387,9.622499,29.510834,2.1,1.6,13.8,5402,0,0,0,0,0,0,0,5402,9.622499
388,9.6325,30.289444,1.7,0.8,16,5405,2.42,2,5401,258,3,16.4,75,5401,9.6325
101821,9.634583,26.34639,0.4,0.2,18,0,0.81,2.2,7183,151,18,6.7,75,7183,9.634583
100369,9.637917,23.613335,0.75,0.25,15.5,7455,0,0,0,0,0,0,0,7455,9.637917
100371,9.64875,29.447222,0.7,0.2,15.5,5237,0.76,0.7,5265,356,12,5.2,52,5265,9.64875
101075,9.66875,29.586111,0.67,0.18,16,0,1.18,0.6,5317,351,2,12.2,72,5317,9.66875
394,9.68,41.996387,2.2,0.7,15.7,5590,5.44,5.3,5597,256,45,6.5,56,5597,9.68
102924,9.680834,28.480556,0.4,0.25,17,0,1.27,2,2604,54,4,18.8,75,2604,9.680834
100375,9.6975,32.416111,0.55,0.55,15.3,11212,0.84,1.8,11250,73,5,11.9,75,11250,9.6975
100377,9.699583,25.717779,0.75,0.3,15.6,0,1.7,2.3,7243,243,24,10.7,75,7243,9.699583
395,9.711666,31.543612,1.2,0.7,15.4,6194,0,0,0,0,0,0,0,6194,9.711666
103219,9.727083,48.467499,0,0,0,12222,0,0,0,0,0,0,0,12222,9.727083
100381,9.73375,26.96389,0.9,0.1,15.5,0,1.88,2.2,5171,217,3,13,75,5171,9.73375
396,9.73875,48.337219,14.4,12,11,-227,1.4,0,-200,40,0,0,-1,-200,9.73875
398,9.73875,25.639166,1.5,1.1,14.6,4612,2.01,1.7,4613,199,7,18.3,75,4613,9.73875
100383,9.739583,26.879444,0.45,0.3,15.3,9997,0,0,0,0,0,0,0,9997,9.739583
101658,9.753333,25.598057,0.35,0.3,15.5,0,0.6,1.9,10328,101,15,6.9,75,10328,9.753333
102788,9.791666,31.850555,0.4,0.35,17,0,0.83,2,5771,42,3,14.4,75,5771,9.791666
103220,9.804166,23.329723,0,0,0,12939,0,0,0,0,0,0,0,12939,9.804166
400,9.826249,29.658054,1.2,1.1,15.2,5507,2.97,1.9,5506,175,3,26,75,5506,9.826249
102663,9.827499,24.728611,0.6,0.5,16,0,1.74,2.2,5157,122,7,15.9,75,5157,9.827499
102263,9.831667,26.761667,0.4,0.1,18,0,1.06,2.5,9942,226,20,6.2,75,9942,9.831667
101015,9.832084,40.367222,0,0,0,-534,0,0,0,0,0,0,0,-534,9.832084
101129,9.8375,45.120831,0.73,0.09,0,0,0,0,13575,0,0,0,66,13575,9.8375
100395,9.855416,25.253611,0.6,0.3,15,4638,2.91,2.2,4648,171,21,22.6,75,4648,9.855416
102925,9.8575,29.402777,0.54,0.2,16.1,0,1.48,2.2,7090,249,5,9.8,75,7090,9.8575
102299,9.865832,26.074722,0.2,0.2,19,0,0.57,2.1,5271,59,12,7.7,75,5271,9.865832
103340,9.869166,21.229723,0.4,0.3,16,17562,0,0,0,0,0,0,0,17562,9.869166
102265,9.872499,27.717501,0.3,0.15,19,0,0.86,2,7236,240,34,6.1,75,7236,9.872499
411,9.872916,25.643888,1.2,0.9,14.5,4614,0,0,0,0,0,0,0,4614,9.872916
412,9.873333,29.762222,1,0.2,15.5,5576,0.5,0.6,5485,393,21,3.9,52,5485,9.873333
100397,9.874166,36.346664,0.8,0.3,14.9,4419,1.22,1.8,4392,86,6,7.9,52,4392,9.874166
101238,9.874583,34.514721,0,0,15.6,4796,2.1,2.3,4798,171,2,15.6,75,4798,9.874583
100399,9.876249,23.072779,0.6,0.2,15.7,11426,0,0,0,0,0,0,0,11426,9.876249
102550,9.889999,36.392502,0,0,0,16110,0,0,0,0,0,0,0,16110,9.889999
101663,9.898749,21.245001,0,0,16,17211,0,0,0,0,0,0,0,17211,9.898749
101016,9.902916,50.008057,0.5,0.25,17,6541,0,0,0,0,0,0,0,6541,9.902916
103221,9.913333,24.256666,0,0,0,13135,0,0,0,0,0,0,0,13135,9.913333
101664,9.92625,21.235001,0.4,0.25,15.1,17358,0,0,0,0,0,0,0,17358,9.92625
101018,9.930833,40.345833,0,0,0,-518,0,0,0,0,0,0,0,-518,9.930833
103537,9.931666,21.187222,0.5,0.35,17,0,2.19,2.6,9297,136,3,16.3,75,9297,9.931666
100407,9.93625,33.158058,0.8,0.65,14.9,8818,1.03,2.5,8905,103,42,8.9,75,8905,9.93625
100408,9.9425,35.852222,0.6,0.4,15.5,10566,0,0,0,0,0,0,0,10566,9.9425
100412,9.951666,21.215,0.65,0.5,15.3,9154,3.48,1.5,9157,331,7,12.7,52,9157,9.951666
101665,9.992084,21.218889,0,0,15.8,16357,0,0,0,0,0,0,0,16357,9.992084
425,10.045001,22.715279,0.7,0.5,14.5,5841,1.49,2.2,5844,110,7,14.5,75,5844,10.045001
100389,10.054167,21.074722,0.4,0.3,15.7,12600,0,0,0,0,0,0,0,12600,10.054167
102789,10.076667,31.111389,0.4,0.15,16.5,0,1.2,2.4,5775,307,92,6.4,75,5775,10.076667
427,10.089583,50.331665,1.5,0.6,15.7,5293,10.68,3.6,5294,305,7,13.9,68,5294,10.089583
426,10.092917,41.685558,19,12,9.4,-239,3.3,0,-228,46,0,0,-1,-228,10.092917
100427,10.10375,24.443054,0.7,0.7,15.3,12788,0,0,0,0,0,0,0,12788,10.10375
100435,10.124166,25.027222,0.8,0.8,15.1,4495,0,0,0,0,0,0,0,4495,10.124166
101822,10.152083,27.050278,0.2,0.1,18,0,3.4,2.1,5129,132,2,31.4,75,5129,10.152083
102228,10.153334,30.662777,0.6,0.6,16,0,0.94,1.9,5291,32,2,19.5,75,5291,10.153334
102790,10.153334,30.555277,0.45,0.25,16.2,0,1.75,2.2,10595,306,51,10.2,75,10595,10.153334
431,10.172501,30.161667,1.2,1,15.1,5332,0,0,0,0,0,0,0,5332,10.172501
102266,10.177083,26.029722,0.9,0.1,18,5318,1.31,2,5319,175,4,11,75,5319,10.177083
100446,10.18,22.674999,0.5,0.35,17.1,0,0.9,2.2,5915,112,8,8.5,75,5915,10.18
101222,10.185,29.484446,0,0,0,7946,0,0,0,0,0,0,0,7946,10.185
101838,10.207084,25.456667,0,0,0,5447,0,0,0,0,0,0,0,5447,10.207084
102264,10.225417,26.956945,0.2,0.15,18,0,0.82,1.4,7175,93,7,13.6,78,7175,10.225417
104548,10.231251,34.747501,0.5,0.25,17.5,0,1.34,2.2,4548,147,8,11.2,75,4548,10.231251
104549,10.2325,36.073608,0.2,0.12,17.5,0,1.16,1.9,11387,113,16,12.7,75,11387,10.2325
101022,10.23625,24.617779,0.3,0.15,17,16298,1.06,2.3,16347,417,10,4.8,75,16347,10.23625
102791,10.240417,31.906389,0.25,0.15,18,0,1.42,1.8,5370,97,4,17.8,75,5370,10.240417
103225,10.255,46.474724,0.8,0.5,16,6978,0,0,0,0,0,0,0,6978,10.255
433,10.265416,31.733055,1.9,0.3,14.6,4649,7.58,2.1,4652,416,4,38,75,4652,10.265416
434,10.280416,50.72028,1.2,0.6,16.5,5180,3.94,2.3,5179,251,8,8.9,56,5179,10.280416
103061,10.287084,23.264723,0.75,0.33,15.1,13910,0,0,0,0,0,0,0,13910,10.287084
100762,10.292083,25.585278,0.94,0.1,0,0,1.57,1.7,10001,378,46,10.3,75,10001,10.292083
101823,10.304167,27.372223,0.6,0.2,17,0,2.12,2.2,10338,307,7,12.3,75,10338,10.304167
438,10.365833,25.5,2.2,1.7,13,4534,6.17,2,4537,351,4,37.4,75,4537,10.365833
103425,10.3725,22.041945,0.5,0.3,17,0,0.61,2.5,810,51,7,7.6,78,810,10.3725
100461,10.389999,29.516111,0.7,0.7,15.4,5238,2.87,2.1,5251,84,3,33.4,75,5251,10.389999
102792,10.390416,31.753334,0.2,0.12,17,0,0.81,2,4585,93,8,9.2,75,4585,10.390416
100462,10.406667,29.202501,0.6,0.4,15.4,6957,0.97,2,6983,268,7,6.7,75,6983,10.406667
102793,10.415,31.266945,0.25,0.12,16.5,0,0.61,2.1,5210,76,12,7.3,75,5210,10.415
104974,10.4175,31.716667,0.25,0.2,17.5,0,0,0,4600,0,0,0,78,4600,10.4175
440,10.43625,36.359165,1.3,1.2,15.5,4863,4.59,4.3,4895,60,7,16.7,52,4895,10.43625
102964,10.44875,28.823891,0,0,0,0,1.27,1.4,5087,157,7,16.2,78,5087,10.44875
102926,10.456667,29.750278,0.5,0.4,18,0,0.81,2.2,5196,50,3,11.5,75,5196,10.456667
442,10.465833,32.990833,1.8,0.9,15.4,4930,4.7,2.3,4927,221,3,30.2,75,4927,10.465833
100465,10.474167,37.10083,0.65,0.65,15.7,10889,2.21,1.8,10883,212,6,8.3,52,10883,10.474167
101130,10.474999,41.954166,0.9,0.11,0,0,0,0,14035,0,0,0,66,14035,10.474999
100470,10.503333,25.565556,0.5,0.4,15.4,10108,1.92,1.6,10139,214,27,18.2,75,10139,10.503333
444,10.52,36.804443,1.2,0.8,14,10693,3.49,1.7,10644,483,18,6,52,10644,10.52
102664,10.527083,25.332224,0.25,0.2,18,0,0.94,2.2,10211,187,15,6.9,75,10211,10.527083
443,10.5325,33.406113,1.1,0.3,15.5,6245,2.47,3.1,6251,207,4,12.4,75,6251,10.5325
100917,10.54875,37.015556,0.6,0.3,0,10498,0,0,0,0,0,0,0,10498,10.54875
104446,10.57125,28.261944,0.25,0.2,18.8,0,0,0,4900,0,0,0,78,4900,10.57125
102267,10.585,27.163889,0.5,0.3,18,0,0.39,2.2,5254,25,4,8,75,5254,10.585
102794,10.589999,29.934444,0.25,0.1,16.5,0,0.77,2.2,5444,163,68,6.2,75,5444,10.589999
448,10.592083,29.641388,2.2,2.1,14.4,4861,6.14,2.1,4859,180,12,49.4,75,4859,10.592083
449,10.593333,29.698332,1,0.25,15.3,5281,4.59,2.3,5285,231,4,29.9,75,5285,10.593333
101667,10.596666,25.562777,0.5,0.5,15.5,14007,0,0,0,0,0,0,0,14007,10.596666
104550,10.607917,35.786667,0.2,0.18,18.5,0,0.52,1.8,6721,81,8,7,75,6721,10.607917
102665,10.610416,25.183611,0.6,0.5,16,0,2.81,2.5,3285,92,7,25.8,75,3285,10.610416
446,10.615,33.185833,1.2,1,17,6279,4.24,2.4,6251,162,7,31,75,6251,10.615
104765,10.617917,25.363056,0.22,0.18,18,0,0,0,1700,0,0,0,75,1700,10.617917
104552,10.63375,34.542778,0.5,0.25,17.2,0,4.83,2.4,6189,165,12,34.8,75,6189,10.63375
100474,10.634167,40.571667,1.3,1,16.6,256,22.4,0,230,100,0,0,37,230,10.634167
102927,10.637917,29.1675,0.6,0.4,16.5,0,2.08,2.3,7085,171,4,15.6,75,7085,10.637917
453,10.665416,29.875,1.3,0.2,16.5,4851,1.64,2.5,4857,177,4,11.1,75,4857,10.665416
104553,10.670417,34.719444,0.5,0.22,17.5,0,0.77,2.6,9965,76,9,7.5,75,9965,10.670417
452,10.674167,40.865833,11,7,9.2,-200,0,18,-214,0,0,0,30,-200,10.674167
104141,10.6775,30.677776,0.73,0.2,16.5,5849,0,0,0,0,0,0,0,5849,10.6775
454,10.684584,41.269165,200,80,4.3,-297,1.79,0,-300,0,0,0,-1,-300,10.684584
100479,10.699583,29.922222,0.65,0.45,14.7,5090,0,0,0,0,0,0,0,5090,10.699583
100480,10.703751,23.49,0.8,0.2,15.7,0,3.15,2.2,7422,207,4,22.4,75,7422,10.703751
457,10.722083,33.522778,1.2,0.2,15.5,6245,2.3,3.3,6215,322,21,8.8,75,6215,10.722083
459,10.725833,32.580276,1,1,14.4,4825,7.16,2,4828,146,3,67.7,75,4828,10.725833
458,10.727083,23.503611,1.2,1.1,14.9,7314,2.81,2.4,7420,109,6,24.6,75,7420,10.727083
100482,10.74125,27.253334,0.75,0.6,14.7,5301,3.3,2.2,5286,230,4,22.6,75,5286,10.74125
102268,10.746667,25.9025,0.5,0.25,16.5,0,0.96,2,4490,167,18,8.1,75,4490,10.746667
104554,10.747499,35.361942,0.7,0.5,17,0,3.25,2.1,10510,214,29,23.3,75,10510,10.747499
105193,10.757083,27.532499,0.25,0.2,17.5,0,0,0,10300,0,0,0,78,10300,10.757083
100483,10.76875,23.508888,0.9,0.25,14.7,7349,0,0,0,0,0,0,0,7349,10.76875
102666,10.792083,24.489166,0.4,0.15,17,0,1.99,2.5,13282,330,85,9.7,75,13282,10.792083
104559,10.797916,34.671112,0.35,0.15,19,0,0,0,6200,0,0,0,78,6200,10.797916
104593,10.82,32.820831,0.6,0.4,17,0,1.37,2.3,4680,141,6,11.1,75,4680,10.82
460,10.848749,50.677223,1.2,0.8,14.6,5219,12.51,3.8,5214,242,14,16.6,56,5214,10.848749
100486,10.872499,30.0525,0.75,0.35,15.7,4891,1.81,2.1,4937,287,13,11.1,75,4937,10.872499
103230,10.875833,21.956112,0.6,0.5,16,17312,0,0,0,0,0,0,0,17312,10.875833
102795,10.894167,30.596945,0.25,0.25,18,0,1.37,2.2,5718,121,21,12.7,75,5718,10.894167
464,10.902916,30.586668,2,1.7,13.8,5430,0,0,0,0,0,0,0,5430,10.902916
100487,10.924999,23.476112,0.7,0.45,15.1,7237,0,0,0,0,0,0,0,7237,10.924999
102301,10.928332,25.86389,0.2,0.1,17,0,0.88,2.2,5180,166,10,6.8,75,5180,10.928332
465,10.961666,32.853333,1.8,0.45,14.5,4772,2.57,2.6,4774,404,5,11,75,4774,10.961666
104555,10.97125,35.225834,0.5,0.25,17,0,0.75,2.5,10513,127,15,6,75,10513,10.97125
100489,10.99125,26.147223,0.5,0.5,17.2,0,0.86,2,4898,37,7,15.5,75,4898,10.99125
103384,10.995417,22.468889,0.3,0.2,17,0,1.03,2.5,11497,185,6,6.8,75,11497,10.995417
101025,10.999582,41.815556,0,0,0,-62,0,0,0,0,0,0,0,-62,10.999582
469,11.015417,26.2075,1.6,0.35,15.3,10081,2.73,2.3,10083,533,14,10,75,10083,11.015417
102855,11.017917,30.3575,0.2,0.12,18,0,0.43,1.4,4957,90,8,7,78,4957,11.017917
467,11.018751,28.874722,1.4,0.5,17,4831,1.85,2.3,4822,116,17,16.9,75,4822,11.018751
100490,11.032917,30.351112,0.6,0.4,15.1,5617,0,0,0,0,0,0,0,5617,11.032917
470,11.052083,26.845835,1.1,0.35,14.8,5190,12.21,2.4,5188,255,2,70.3,75,5188,11.052083
102269,11.055834,26.625,0.5,0.4,19,0,0.79,2.3,5335,100,1,7.6,75,5335,11.055834
104594,11.06875,32.607498,0.6,0.22,17.2,0,0.64,2,4725,84,8,7.6,75,4725,11.06875
102667,11.070001,25.765833,0.4,0.3,17.5,0,1.1,2.4,13547,174,10,7.8,75,13547,11.070001
103386,11.083751,22.883333,0.2,0.15,16.8,0,0.7,2.6,14679,66,10,7.4,75,14679,11.083751
101223,11.086667,23.833334,0.3,0.16,17.7,6535,1.28,2.3,6480,175,4,9.4,75,6480,11.086667
102796,11.093751,30.428888,0.54,0.1,15.8,0,2.67,2.2,6691,187,7,19.9,75,6691,11.093751
104450,11.094168,27.294167,0.25,0.2,18,0,0,0,9000,0,0,0,78,9000,11.094168
101027,11.133334,41.867222,0,0,0,-62,0,0,0,0,0,0,0,-62,11.133334
102797,11.142084,30.354723,0.79,0.11,16.5,0,1.03,2.2,5213,235,99,6.7,75,5213,11.142084
102668,11.148334,25.687222,0.3,0.2,17,0,0.85,2.2,14157,136,19,7.5,75,14157,11.148334
102928,11.155001,29.330278,0.6,0.4,17,0,0.98,2.2,10481,220,8,6.8,75,10481,11.155001
471,11.174583,45.421112,2,1.5,15.7,14800,0,0,0,0,0,0,0,14800,11.174583
101028,11.185417,32.843609,0,0,0,15375,0,0,0,0,0,0,0,15375,11.185417
102669,11.195001,25.445,0.6,0.4,16,0,3.59,2,12004,347,31,21.2,75,12004,11.195001
100496,11.203333,43.00639,0,0,0,14076,0,0,0,0,0,0,0,14076,11.203333
103387,11.216667,23.806389,0.2,0.07,17,6650,0.83,2.4,6674,128,12,6.7,75,6674,11.216667
102270,11.218334,27.346668,0.25,0.1,19,0,0.65,1.4,5251,107,11,10.3,78,5251,11.218334
102798,11.222084,31.083334,0.56,0.21,16.2,0,2.52,2.3,5438,199,9,17.1,75,5438,11.222084
100499,11.236667,27.450279,0.4,0.2,16.5,5400,1.6,2.2,5186,122,9,14.5,75,5186,11.236667
101029,11.239166,28.110001,0.4,0.3,16,10038,1.02,2.1,10289,224,7,7.2,75,10289,11.239166
100498,11.2525,43.518612,0,0,0,14118,0,0,0,0,0,0,0,14118,11.2525
103388,11.277083,23.803888,0.25,0.1,17,0,0,0,12900,0,0,0,78,12900,11.277083
100502,11.277083,25.782223,0.5,0.35,15.6,13725,1.09,2.8,13653,190,40,6.4,75,13653,11.277083
102929,11.309167,28.749722,0.25,0.2,16,0,0.81,2.1,7016,137,6,7.3,75,7016,11.309167
102965,11.324166,27.972223,0,0,0,0,0.53,1.4,5190,101,17,8.7,78,5190,11.324166
102670,11.32625,24.144722,0.3,0.2,17,0,0.76,2.2,2025,63,11,9.7,75,2025,11.32625
102799,11.341249,29.827778,0.72,0.16,16,0,3.34,2.3,10364,487,4,13.5,75,10364,11.341249
103237,11.368334,45.366386,0,0,0,14623,0,0,0,0,0,0,0,14623,11.368334
104454,11.378333,31.77,0.4,0.25,17,5588,0,0,0,0,0,0,0,5588,11.378333
102800,11.385,31.731667,0.4,0.35,15.8,0,1.47,2.3,5520,202,3,10.1,75,5520,11.385
100504,11.419583,20.561388,0,0,0,17954,0,0,0,0,0,0,0,17954,11.419583
104456,11.420834,30.996668,0.25,0.2,17.5,0,0,0,5000,0,0,0,78,5000,11.420834
104785,11.4275,27.59889,0.25,0.15,17.8,0,0,0,5200,0,0,0,78,5200,11.4275
