AGCnr,radeg,decdeg,a,b,zmag,vopt,hiflux,rms,v21,width,widtherr,snr,hisrc,vhelagc, rawrap
331086,0.49375,36.64917,0.6,0.3,15.4,9609,0,1,9714,107,12,0,52,9714,0.49375
102735,0.505417,30.982779,0.2,0.1,17,0,1.79,2.3,2878,152,2,13.8,75,2878,0.505417
102980,0.580417,28.330557,0.4,0.35,16,0,0.72,2.1,6819,45,6,11.2,75,6819,0.580417
12920,0.595833,27.210556,1.3,0.2,15.5,7599,2.88,2.4,7613,281,2,16,75,7613,0.595833
331093,0.6125,21.587778,0.6,0.5,15.7,8271,1.32,1.8,8271,168,6,5.6,52,8271,0.6125
103301,0.624583,23.350555,0.4,0.2,17.3,0,1.19,2.2,4274,190,5,8.7,75,4274,0.624583
103302,0.641667,23.618889,0.4,0.3,17.5,0,1.23,2.5,9989,208,5,7.7,75,9989,0.641667
100004,0.6675,27.385834,0.55,0.44,0,7690,0,0,0,0,0,0,0,7690,0.6675
104574,0.67625,33.600277,0.9,0.3,16.5,0,1.57,2.7,4852,197,4,9.4,75,4852,0.67625
103106,0.682083,27.429167,0,0,0,7547,0,0,0,0,0,0,0,7547,0.682083
102597,0.683333,26.896667,0.3,0.1,16.5,0,0,0,7700,0,0,0,78,7700,0.683333
100006,0.709167,31.485001,0.75,0.6,15.6,0,1.2,2.1,4947,109,2,12.1,75,4947,0.709167
104575,0.7125,32.794445,0.5,0.4,17.2,0,1.43,3,10434,242,36,6.8,75,10434,0.7125
101844,0.72875,24.654999,0,0,17.8,11452,0,0,0,0,0,0,0,11452,0.72875
102981,0.731667,28.277222,0.5,0.45,17.2,0,0.53,2.3,4583,65,15,6.5,75,4583,0.731667
100008,0.735,29.584167,0.68,0.3,18.1,4836,1.33,1.8,4842,119,7,15.5,75,4842,0.735
104679,0.744583,20.386389,0.6,0.5,17.2,0,1.06,2.5,6349,123,7,8.6,75,6349,0.744583
100010,0.786667,31.036388,0.7,0.3,15,4797,0.92,2.2,4748,377,84,4.7,75,4748,0.786667
6,0.790417,21.959723,1,0.7,14.4,6600,1.04,3,6561,241,9,5,75,6561,0.790417
100011,0.803333,25.175833,0.3,0.3,15.5,7729,0.42,2.3,7770,58,51,5.4,75,7770,0.803333
103303,0.8275,22.641945,0.7,0.3,16.2,0,4.77,2.2,7123,281,7,29.6,75,7123,0.8275
104028,0.829583,27.850834,0.51,0.15,16.5,11793,0,0,0,0,0,0,0,11793,0.829583
104229,0.834583,32.512222,0.5,0.35,17,0,1.05,2.3,6409,152,5,8.3,75,6409,0.834583
12,0.835,29.797222,1.1,0.9,15.7,6981,2.9,2,6980,242,10,20.6,75,6980,0.835
11,0.839583,22.102501,1.1,0.8,16,4455,1.92,2.6,4445,176,8,12.3,75,4445,0.839583
100013,0.840833,30.781944,0.6,0.2,15.7,0,0.91,1.5,5088,163,29,10,78,5088,0.840833
102553,0.855,27.402777,0.2,0.2,17,0,0.83,2.2,4544,83,10,9.3,75,4544,0.855
104230,0.864583,32.619164,0.5,0.35,17.2,0,0.93,2.4,13019,224,43,5.8,75,13019,0.864583
13,0.871667,27.351389,1.1,1,15,7690,0.66,2.8,7749,135,10,4.5,75,7749,0.871667
