AGCNr,Name,RAdeg_HI,Decdeg_HI,RAdeg_OC,DECdeg_OC,Vhelio,W50,errW50,HIflux,errflux,SNR,RMS,Dist,logMsun,HIcode,useradeg,usedecdeg,wrapradeg
104230,        ,0.86333,32.62111,0.86458,32.61916,13019,224,43,0.93,0.09,5.8,2.37,181.3,9.86,1,0.86458,32.61916,0.86458
13,478-017 ,0.87083,27.36889,0.87167,27.35139,7749,135,10,0.66,0.09,4.5,2.84,105.9,9.24,2,0.87167,27.35139,0.87167
100016,478-018 ,0.89417,22.08694,0.89333,22.08222,7517,306,5,1.59,0.1,8.8,2.29,102.4,9.59,1,0.89333,22.08222,0.89333
14,478-019 ,0.8975,23.19778,0.89625,23.20028,7247,350,4,6.55,0.12,31.3,2.5,98.6,10.18,1,0.89625,23.20028,0.89625
102898,        ,0.94042,28.55389,0.93375,28.55583,7945,256,3,2.94,0.09,18.5,2.21,108.7,9.91,1,0.93375,28.55583,0.93375
100783,        ,0.95583,31.34778,0.94792,31.34361,5011,102,9,0.7,0.06,7.2,2.16,68.9,8.89,1,0.94792,31.34361,0.94792
104212,mph     ,0.96292,33.65694,0.96,33.65583,6356,111,2,2.58,0.07,22.7,2.41,86.2,9.65,1,0.96,33.65583,0.96
102736,        ,0.9725,30.27555,0.96708,30.27861,2936,64,5,1,0.05,13,2.13,41.4,8.61,1,0.96708,30.27861,0.96708
104524,        ,1.06167,35.4625,1.06917,35.47306,12210,74,6,0.53,0.05,6.5,2.1,169.9,9.56,1,1.06917,35.47306,1.06917
24,478-020 ,1.06542,22.58528,1.06125,22.58778,4446,179,3,5.17,0.08,35.5,2.43,48.1,9.45,1,1.06125,22.58778,1.06125
26,N7819   ,1.10333,31.47056,1.10208,31.47194,4955,245,2,10.19,0.09,62.3,2.33,42.1,9.63,1,1.10208,31.47194,1.10208
102899,        ,1.10417,28.49611,1.105,28.48472,11982,314,8,3.03,0.11,15.6,2.44,166.4,10.3,1,1.105,28.48472,1.105
100022,478-000 ,1.11875,22.3475,1.11375,22.34917,6498,198,4,1.83,0.09,11.4,2.54,87.9,9.52,1,1.11375,22.34917,1.11375
30,        ,1.12208,33.55694,1.13625,33.55917,4766,235,4,2.58,0.12,12,3.12,68.7,9.46,1,1.13625,33.55917,1.13625
100784,        ,1.14958,31.715,1.14583,31.71334,4841,109,5,1.47,0.07,13.6,2.31,68.8,9.22,1,1.14583,31.71334,1.14583
102900,F409-03 ,1.15917,29.5925,1.16333,29.59889,12138,133,4,0.96,0.06,9.8,1.9,168.6,9.81,1,1.16333,29.59889,1.16333
100025,478-021 ,1.18292,26.83778,1.18583,26.8325,7556,134,15,1.05,0.06,9.8,2.06,103.1,9.42,1,1.18583,26.8325,1.18583
104297,        ,1.19708,33.31083,1.20333,33.3,10370,196,35,1.23,0.1,7.2,2.73,143.5,9.78,1,1.20333,33.3,1.20333
104525,KAZ013  ,1.19917,34.77139,1.20417,34.77889,12176,119,10,2.19,0.08,18.7,2.39,169.4,10.17,1,1.20417,34.77889,1.20417
102737,        ,1.22292,29.87611,1.21917,29.87972,12076,214,5,1.21,0.09,7.8,2.35,167.8,9.9,1,1.21917,29.87972,1.21917
102572,KUG     ,1.22583,28.10167,1.22167,28.08361,10988,140,15,1.79,0.07,15,2.26,152.2,9.99,1,1.22167,28.08361,1.22167
102738,        ,1.26375,30.08278,1.26083,30.08861,9119,127,25,1.22,0.07,9.9,2.45,125.5,9.66,1,1.26083,30.08861,1.26083
102243,        ,1.2675,23.9675,1.27083,23.96972,6577,144,5,3.06,0.07,26.5,2.15,89,9.76,1,1.27083,23.96972,1.27083
102739,        ,1.27875,31.08667,1.27583,31.09417,12168,277,42,1.21,0.09,7.6,2.15,169.1,9.91,1,1.27583,31.09417,1.27583
102740,        ,1.28167,29.96667,1.27667,29.96361,4883,144,6,0.98,0.07,8.3,2.18,69.1,9.04,1,1.27667,29.96361,1.27667
104298,        ,1.28833,33.21167,1.29042,33.21695,4865,73,11,0.98,0.05,12.2,2.1,68.8,9.04,1,1.29042,33.21695,1.29042
102554,        ,1.31542,27.48861,1.31375,27.48972,11854,232,27,1.68,0.09,11,2.23,164.5,10.03,1,1.31375,27.48972,1.31375
102555,        ,1.3225,26.52194,1.33,26.51944,7432,140,33,0.72,0.06,7,1.94,101.3,9.24,1,1.33,26.51944,1.33
102901,        ,1.335,29.72222,1.34875,29.72695,6629,79,7,0.58,0.06,6.7,2.18,90,9.04,1,1.34875,29.72695,1.34875
100035,499-049 ,1.36625,32.5225,1.37167,32.52611,10417,124,20,1.48,0.08,12.7,2.34,144.2,9.86,1,1.37167,32.52611,1.37167
102741,        ,1.38333,31.86361,1.37167,31.86194,5024,65,7,0.5,0.04,6.5,2.11,71.1,8.78,1,1.37167,31.86194,1.37167
40,478-024 ,1.455,27.44917,1.45167,27.44889,7522,388,2,2.52,0.11,12.8,2.23,102.6,9.8,1,1.45167,27.44889,1.45167
41,M+401022,1.48,22.49167,1.48333,22.49195,6594,250,3,4.21,0.09,25,2.38,89.3,9.9,1,1.48333,22.49195,1.48333
100037,M+401023,1.5125,27.34778,1.51125,27.34833,3182,63,1,1.22,0.05,16.5,2.08,44.8,8.76,1,1.51125,27.34833,1.51125
102742,        ,1.51458,30.13583,1.50625,30.13361,12481,374,21,1.6,0.11,7.9,2.35,173.6,10.06,1,1.50625,30.13361,1.50625
100941,2MFG85  ,1.54625,28.29222,1.53833,28.315,10955,154,8,0.82,0.08,6.3,2.36,151.7,9.65,2,1.53833,28.315,1.53833
103304,        ,1.5875,23.75472,1.58208,23.75583,7771,255,6,1.29,0.1,6.8,2.66,106.1,9.53,1,1.58208,23.75583,1.58208
100890,ADBS    ,1.59833,23.78111,1.595,23.78889,4589,212,2,2.61,0.09,16.1,2.48,64.8,9.41,1,1.595,23.78889,1.595
102557,        ,1.60792,27.91389,1.60583,27.91111,7527,272,30,1.75,0.1,10.6,2.24,102.7,9.64,1,1.60583,27.91111,1.60583
104576,        ,1.65083,33.10278,1.64917,33.09027,4885,173,7,2.21,0.08,16.4,2.29,68.9,9.39,1,1.64917,33.09027,1.64917
50,478-025 ,1.66667,26.1525,1.66708,26.15389,7556,401,14,2.92,0.1,16,2.03,103.1,9.86,1,1.66708,26.15389,1.66708
104577,        ,1.67917,33.15472,1.68583,33.14944,4845,125,5,1.67,0.07,13.7,2.43,68.9,9.27,1,1.68583,33.14944,1.68583
102622,        ,1.71667,24.22722,1.715,24.225,10252,156,23,3.38,0.07,28.2,2.14,141.6,10.2,1,1.715,24.225,1.715
102558,        ,1.765,27.00917,1.76958,27.02444,2963,48,2,0.45,0.04,7.3,1.99,41.7,8.27,1,1.76958,27.02444,1.76958
100043,518-011 ,1.78542,35.81861,1.7775,35.81833,11930,276,7,2.7,0.08,20.5,1.77,165.9,10.24,1,1.7775,35.81833,1.7775
100944,IVZw6   ,1.80833,28.36028,1.815,28.35167,12041,283,13,1.6,0.09,9.7,2.2,167.2,10.02,1,1.815,28.35167,1.815
103305,        ,1.80583,22.39167,1.82125,22.39722,10503,50,3,0.69,0.04,10.4,2.07,145.1,9.53,1,1.82125,22.39722,1.82125
57,N   1   ,1.81625,27.71389,1.81625,27.70778,4550,318,1,11.21,0.1,63.3,2.22,74.1,10.16,1,1.81625,27.70778,1.81625
102743,        ,1.8275,31.30167,1.83042,31.30444,12987,318,54,1.65,0.1,8.9,2.33,180.8,10.1,1,1.83042,31.30444,1.83042
102623,        ,1.82792,25.08833,1.82292,25.08694,10896,182,20,1.56,0.07,12.6,2.05,150.8,9.92,1,1.82292,25.08694,1.82292
60,N7831   ,1.82458,32.60833,1.83125,32.60889,5076,470,5,6.69,0.1,33.2,1.91,75.2,9.95,1,1.83125,32.60889,1.83125
59,N   2   ,1.83375,27.67528,1.82125,27.67778,7559,381,0,2.23,0.1,11.5,2.22,103.2,9.75,1,1.82125,27.67778,1.82125
104526,        ,1.85958,34.40694,1.86125,34.40806,10499,77,11,0.8,0.06,8.3,2.44,145.4,9.6,1,1.86125,34.40806,1.86125
104578,        ,1.8625,33.80694,1.86375,33.80667,5055,120,7,0.77,0.07,6.1,2.55,71.5,8.97,1,1.86375,33.80667,1.86375
100045,Eder Dw ,1.86917,32.06972,1.86375,32.07167,4862,95,10,1.95,0.06,19.8,2.25,68.7,9.34,1,1.86375,32.07167,1.86375
102744,        ,1.92542,29.90611,1.9225,29.91,7516,255,14,1.23,0.08,8.6,1.98,102.6,9.48,2,1.9225,29.91,1.9225
102745,        ,1.94,31.79222,1.94625,31.79083,4606,122,7,0.71,0.06,6.8,2.12,65,8.85,1,1.94625,31.79083,1.94625
102559,        ,1.95292,27.50167,1.95417,27.50889,7518,166,11,1.01,0.07,8.2,2.15,102.6,9.4,1,1.95417,27.50889,1.95417
63,518-013 ,1.96542,35.96639,1.96167,35.96584,441,41,2,3.38,0.04,67.3,1.72,7.5,7.65,1,1.96167,35.96584,1.96167
65,N7836   ,1.9875,33.06,2.00667,33.07028,4893,339,44,1.33,0.11,6.5,2.48,68.9,9.17,1,2.00667,33.07028,2.00667
104565,        ,2.00125,35.34889,0,0,3143,18,7,0.3,0.04,6.6,2.23,44.2,8.14,1,2.00125,35.34889,2.00125
104528,        ,1.99083,34.74805,2.0125,34.75167,14071,93,38,0.84,0.07,7.6,2.53,196.5,9.88,1,2.0125,34.75167,2.0125
104579,        ,2.0175,32.2125,2.01042,32.20722,10447,297,21,1.51,0.1,8.3,2.37,144.6,9.87,1,2.01042,32.20722,2.01042
102560,        ,2.02083,26.0975,2.02167,26.10083,11707,151,6,1.81,0.08,13.8,2.39,162.4,10.05,1,2.02167,26.10083,2.02167
100779,comp    ,2.02667,32.63695,2.02458,32.63361,5082,140,10,0.53,0.07,4.5,2.22,68.9,8.77,2,2.02458,32.63361,2.02458
69,478-030 ,2.04917,27.53139,2.04542,27.5275,4637,175,1,7.72,0.08,54.7,2.38,44.1,9.55,1,2.04542,27.5275,2.04542
100053,499-052 ,2.09917,31.08472,2.10125,31.09139,13145,270,18,1.45,0.1,8.2,2.42,183.1,10.06,1,2.10125,31.09139,2.10125
101097,        ,2.09292,33.02972,2.09958,33.02833,4950,181,3,1.61,0.07,12,2.23,75.5,9.33,1,2.09958,33.02833,2.09958
100952,        ,2.12583,34.78583,2.12833,34.78611,10406,88,6,0.69,0.06,7.2,2.3,144.1,9.53,1,2.12833,34.78611,2.12833
103308,        ,2.16417,23.95639,2.16,23.95861,6648,149,7,0.65,0.06,6.2,1.9,90.1,9.09,2,2.16,23.95861,2.16
77,N  13   ,2.195,33.44028,2.19875,33.4325,4820,447,3,3.27,0.16,10.2,3.22,59.4,9.43,1,2.19875,33.4325,2.19875
76,M+401029,2.21292,24.54278,2.20542,24.54,4583,195,19,3.65,0.08,25.6,2.27,65.5,9.57,1,2.20542,24.54,2.20542
78,N   9   ,2.2275,23.82056,2.22792,23.81722,4534,161,5,3.01,0.07,23.7,2.24,64,9.46,1,2.22792,23.81722,2.22792
102561,        ,2.24167,26.23222,2.23458,26.23861,4405,97,11,0.93,0.06,10,2.11,62.1,8.93,1,2.23458,26.23861,2.23458
79,478-032 ,2.26833,25.61861,2.26833,25.61806,4336,189,2,5.95,0.08,41.2,2.35,67.6,9.81,1,2.26833,25.61806,2.26833
102624,        ,2.27083,25.48028,2.26417,25.46389,1393,109,11,0.71,0.07,6.1,2.47,19.9,7.82,1,2.26417,25.46389,2.26417
104530,        ,2.27583,34.46667,2.28542,34.46778,6315,100,6,0.94,0.06,9.9,2.11,89.8,9.25,1,2.28542,34.46778,2.28542
101782,FGC  12 ,2.33583,30.66639,2.33708,30.66667,15163,309,128,1.71,0.11,9.1,2.38,211.9,10.26,1,2.33708,30.66667,2.33708
102562,        ,2.37958,26.33556,2.375,26.33389,11693,223,5,1.47,0.08,9.6,2.29,162.2,9.96,1,2.375,26.33389,2.375
102625,        ,2.40042,25.55667,2.39792,25.55305,4642,129,15,1.14,0.06,11,2.03,65.5,9.06,1,2.39792,25.55305,2.39792
86,N  22   ,2.4525,27.83389,2.45083,27.83195,8312,359,2,3.82,0.11,18.5,2.44,114,10.07,1,2.45083,27.83195,2.45083
102902,M+501037,2.45583,28.69167,2.45333,28.69,10560,108,8,1.24,0.07,12.7,2.1,146.1,9.79,1,2.45333,28.69,2.45333
89,N  23   ,2.47542,25.92861,2.47208,25.92389,4569,383,29,7.35,0.11,35.5,2.36,53.7,9.7,1,2.47208,25.92389,2.47208
102746,        ,2.50375,29.91472,2.49875,29.91,6840,232,23,1.51,0.08,11,2.01,93,9.49,1,2.49875,29.91,2.49875
92,499-059 ,2.50708,28.20611,2.50792,28.21,8171,73,4,3.86,0.06,42.8,2.34,112,10.06,1,2.50792,28.21,2.50792
91,499-058 ,2.51292,28.15611,2.51375,28.14972,8203,420,8,4.5,0.13,18.7,2.56,112.4,10.13,1,2.51375,28.14972,2.51375
93,499-060 ,2.57458,30.84972,2.57,30.84945,4952,268,2,10.66,0.11,54.6,2.67,70,10.09,1,2.57,30.84945,2.57
102563,        ,2.5825,27.76361,2.5925,27.75778,7321,150,6,1.05,0.07,8.7,2.21,99.8,9.39,1,2.5925,27.75778,2.5925
102747,        ,2.59458,31.40111,2.60042,31.40055,13759,202,10,1.1,0.08,7.9,2.2,191.9,9.98,1,2.60042,31.40055,2.60042
101063,        ,2.5925,29.12139,2.57833,29.13778,8051,145,47,1.28,0.1,8.5,2.79,110.3,9.56,2,2.57833,29.13778,2.57833
95,499-062 ,2.60417,28.98472,2.61,28.98778,7852,454,8,5.75,0.13,23.3,2.43,107.4,10.19,1,2.61,28.98778,2.61
94,N  26   ,2.61042,25.83361,2.60833,25.83195,4592,305,12,10.78,0.11,54.8,2.52,68.5,10.08,1,2.60833,25.83195,2.60833
96,N  27   ,2.63542,28.99972,2.63625,28.99639,7022,416,22,2.63,0.12,12,2.35,95.6,9.75,1,2.63625,28.99639,2.63625
102626,        ,2.64958,24.37194,2.64958,24.36417,14676,150,36,1.16,0.07,10.6,1.98,204.8,10.06,1,2.64958,24.36417,2.64958
97,499-064 ,2.64708,28.69056,2.64917,28.68167,8125,622,151,4.7,0.15,14.2,2.38,111.3,10.14,1,2.64917,28.68167,2.64917
102627,        ,2.65083,24.50083,2.645,24.50194,11554,177,43,1.18,0.09,9.1,2.18,160.2,9.85,1,2.645,24.50194,2.645
102628,        ,2.66125,24.53194,2.65917,24.52306,10214,116,10,1.87,0.07,16.7,2.31,141,9.94,1,2.65917,24.52306,2.65917
98,N  21   ,2.66917,32.98389,2.67,32.9825,4789,306,14,4.89,0.1,26.4,2.37,63.4,9.67,1,2.67,32.9825,2.67
100068,518-017 ,2.67792,35.85555,2.675,35.85278,6157,117,15,2.63,0.06,29.2,1.86,87.5,9.68,1,2.675,35.85278,2.675
100,N  29   ,2.68625,33.3525,2.69583,33.3525,4769,382,3,9.22,0.13,37.8,2.79,68.8,10.01,1,2.69583,33.3525,2.69583
