AGCNr,Name,RAdeg_HI,Decdeg_HI,RAdeg_OC,DECdeg_OC,Vhelio,W50,errW50,HIflux,errflux,SNR,RMS,Dist,logMsun,HIcode,useradeg,usedecdeg,wrapradeg
103402,        ,14.30833,22.87306,14.3075,22.8775,1705,87,6,0.67,0.05,7.1,2.25,23.4,7.94,1,14.3075,22.8775,14.3075
591,480-025 ,14.33542,23.88417,14.33167,23.89028,4832,193,3,4.87,0.08,35.8,2.19,70.1,9.75,1,14.33167,23.89028,14.33167
102823,        ,14.36417,31.47528,14.35417,31.47695,6242,279,6,1.6,0.09,9.8,2.18,87.9,9.46,1,14.35417,31.47695,14.35417
102824,        ,14.38458,30.19111,14.38125,30.18611,4896,266,8,1.11,0.1,6.3,2.41,69.6,9.1,1,14.38125,30.18611,14.38125
104605,        ,14.40167,32.76167,14.41167,32.76833,5118,118,17,1.36,0.07,12,2.33,71.4,9.21,1,14.41167,32.76833,14.41167
100684,501-051 ,14.41125,33.35167,14.42375,33.35139,5269,153,37,0.97,0.1,6,2.88,73.6,9.09,2,14.42375,33.35139,14.42375
100685,501-050 ,14.42042,32.53889,14.435,32.54639,7364,165,7,0.69,0.06,6.5,1.83,100.9,9.22,1,14.435,32.54639,14.435
598,501-053 ,14.46042,31.48944,14.45833,31.48417,5029,178,65,0.8,0.08,5.2,2.58,70.1,8.97,2,14.45833,31.48417,14.45833
597,N 315   ,14.46333,30.34417,14.45417,30.35278,4974,612,11,1.67,0.21,3.5,3.5,69.6,9.28,2,14.45417,30.35278,14.45417
100758,MK 351  ,14.47417,28.4,14.48333,28.39056,7195,84,11,0.75,0.05,8,2.27,98.4,9.23,1,14.48333,28.39056,14.48333
103403,        ,14.47667,22.71806,14.48167,22.71833,16357,131,7,0.86,0.07,6.6,2.54,229.1,10.03,1,14.48167,22.71833,14.48167
102825,        ,14.49,31.91556,14.48917,31.91111,5171,131,16,0.72,0.06,7.4,1.87,72.2,8.95,1,14.48917,31.91111,14.48917
100687,501-055 ,14.49792,30.70667,14.505,30.705,4730,174,24,1,0.09,6.7,2.52,61.9,8.96,1,14.505,30.705,14.505
103404,F475-02 ,14.62042,23.81222,14.61417,23.81278,5071,166,7,0.88,0.08,6.1,2.5,70.7,9.02,1,14.61417,23.81278,14.61417
100690,480-027 ,14.61792,23.53694,14.61375,23.54083,10418,310,4,1.78,0.11,9.1,2.49,144.3,9.94,1,14.61375,23.54083,14.61375
102569,        ,14.62292,27.75583,14.62208,27.75778,10930,180,22,1.39,0.08,11.2,2.07,151.7,9.88,1,14.62208,27.75778,14.62208
102826,        ,14.63958,30.90972,14.6425,30.90694,4755,88,6,0.62,0.05,7.5,1.96,69.6,8.85,1,14.6425,30.90694,14.6425
101240,        ,14.65333,31.35722,14.66417,31.36194,5320,42,16,0.55,0.06,8.6,2.17,74.4,8.86,1,14.66417,31.36194,14.66417
102827,        ,14.67,30.71722,14.6675,30.71889,6692,210,5,1.18,0.08,8.3,2.18,91.2,9.36,1,14.6675,30.71889,14.6675
103406,        ,14.68292,23.52028,14.68083,23.52139,12533,304,8,1.28,0.1,6.9,2.39,174.5,9.96,1,14.68083,23.52139,14.68083
102828,        ,14.74875,31.17333,14.76292,31.16639,4494,119,9,0.81,0.06,6.9,2.4,62.3,8.87,1,14.76292,31.16639,14.76292
612,480-028 ,14.76,23.8525,14.75292,23.85306,5052,242,7,1.13,0.1,6.1,2.65,70.1,9.12,1,14.75292,23.85306,14.75292
100696,480-029 ,14.8375,23.95583,14.84875,23.97944,5059,146,23,0.72,0.09,4.7,2.82,70.1,8.92,2,14.84875,23.97944,14.84875
102570,        ,14.86583,26.25222,14.85583,26.25972,9598,129,29,0.88,0.06,8.5,2.04,132.6,9.56,1,14.85583,26.25972,14.85583
100697,501-056 ,14.88875,31.80055,14.88417,31.79778,4615,151,9,1.9,0.07,15.6,2.21,64.1,9.26,1,14.88417,31.79778,14.88417
614,520-006 ,14.90833,35.56111,14.90083,35.56055,2354,196,3,5.4,0.06,46.8,1.84,34.8,9.19,1,14.90083,35.56055,14.90083
100699,501-057 ,14.91083,29.33306,14.915,29.33722,4859,167,2,1.75,0.06,16.6,1.81,67.6,9.28,1,14.915,29.33722,14.915
102679,        ,14.94417,24.42861,14.94167,24.43417,5549,148,26,0.72,0.07,6.3,2.09,77.6,9.01,1,14.94167,24.43417,14.94167
102829,        ,14.95625,30.97611,14.95917,30.98556,4851,210,21,1.17,0.08,7.8,2.3,69.5,9.12,1,14.95917,30.98556,14.95917
103408,        ,14.9625,22.25361,14.95667,22.25611,13272,203,7,1.18,0.09,7.3,2.53,185,9.98,1,14.95667,22.25611,14.95667
100701,501-058 ,14.97625,31.82556,14.97167,31.82695,4453,236,3,3.33,0.1,19.2,2.51,61.7,9.48,1,14.97167,31.82695,14.97167
102830,        ,14.98667,31.97445,14.98542,31.975,4737,106,3,1.07,0.05,13.7,1.7,65.8,9.04,1,14.98542,31.975,14.98542
113884,        ,15.01,30.40333,15.00167,30.40306,4777,126,16,0.87,0.08,6.7,2.56,69.5,9,1,15.00167,30.40306,15.00167
100703,520-007 ,15.05292,35.28861,15.05,35.28972,7781,293,9,2.44,0.1,13,2.45,107,9.82,1,15.05,35.28972,15.05
113885,        ,15.05333,32.10917,15.05417,32.10694,4251,103,5,0.67,0.05,8,1.84,58.8,8.74,1,15.05417,32.10694,15.05417
113886,        ,15.06917,31,15.06875,31.00056,6577,131,5,0.89,0.07,7.6,2.27,89.6,9.23,1,15.06875,31.00056,15.06875
113887,        ,15.07958,30.965,15.08542,30.98222,5285,78,8,0.57,0.05,6.7,2.14,69.5,8.81,1,15.08542,30.98222,15.08542
112533,        ,15.08042,31.46695,15.08625,31.46611,5626,70,13,0.91,0.06,10.3,2.34,78.8,9.12,1,15.08625,31.46611,15.08625
113888,        ,15.08417,30.9525,15.08208,30.9575,10443,356,15,5.01,0.12,24,2.47,144.9,10.39,1,15.08208,30.9575,15.08208
113746,        ,15.11333,25.88972,15.11625,25.89472,12457,184,19,1.16,0.08,8.7,2.19,173.5,9.92,1,15.11625,25.89472,15.11625
113889,        ,15.12292,31.45028,15.1175,31.45083,6458,134,12,1.94,0.07,16,2.33,87.9,9.55,1,15.1175,31.45083,15.1175
100705,480-031 ,15.12583,27.02944,15.11583,27.025,14914,156,32,0.69,0.08,5.2,2.38,208.6,9.85,2,15.11583,27.025,15.11583
101685,M+403033,15.13875,27.0975,15.14167,27.09806,11040,195,8,2.11,0.09,14.3,2.36,153.3,10.07,1,15.14167,27.09806,15.14167
623,I  66   ,15.14333,30.79389,15.13542,30.79667,4844,357,5,1.87,0.1,10.1,2.19,85.1,9.5,1,15.13542,30.79667,15.13542
624,N 338   ,15.15083,30.66917,15.15208,30.66861,4777,520,5,11.72,0.13,43.7,2.3,78.3,10.23,1,15.15208,30.66861,15.15208
113890,        ,15.15667,31.6025,15.16125,31.60306,5698,104,7,0.74,0.06,7.5,2.16,79.9,9.05,1,15.16125,31.60306,15.16125
101059,        ,15.16292,30.30389,15.16042,30.31639,5177,275,78,0.92,0.1,5.2,2.37,72.2,9.05,2,15.16042,30.31639,15.16042
100706,501-060 ,15.16542,30.12222,15.16542,30.12472,6775,227,37,1.43,0.09,8.7,2.43,92.4,9.46,1,15.16542,30.12472,15.16542
114031,        ,15.23792,28.84556,15.2425,28.83972,4945,144,5,0.98,0.06,8.8,2.07,68.8,9.04,1,15.2425,28.83972,15.2425
113891,        ,15.24208,31.23111,15.245,31.23,5218,164,5,1.2,0.07,9.9,2.11,69.5,9.14,1,15.245,31.23,15.245
630,M+503037,15.24958,29.94944,15.255,29.94722,4876,153,9,1.3,0.07,10.5,2.23,67.8,9.15,1,15.255,29.94722,15.255
629,501-062 ,15.25333,29.60083,15.25708,29.60139,4999,192,3,6.47,0.09,42.8,2.43,69.6,9.87,1,15.25708,29.60139,15.25708
113996,        ,15.26375,30.69,0,0,4686,29,2,0.72,0.04,13.3,2.15,69.5,8.91,1,15.26375,30.69,15.26375
101686,        ,15.27625,29.935,15.27333,29.94056,6790,91,19,0.49,0.05,5.3,2.15,92.6,9,2,15.27333,29.94056,15.27333
113892,        ,15.27875,31.06667,15.27375,31.07139,6714,242,6,1.14,0.09,7.2,2.26,91.6,9.35,1,15.27375,31.07139,15.27375
114032,        ,15.28375,29.73222,15.28458,29.73528,6897,54,4,0.89,0.05,11.7,2.3,94.2,9.27,1,15.28458,29.73528,15.28458
113893,        ,15.31042,31.24417,15.31208,31.24417,5895,132,9,1.49,0.07,13.3,2.16,82.7,9.38,1,15.31208,31.24417,15.31208
113894,        ,15.32542,31.28889,15.32083,31.2975,5928,75,3,1.51,0.06,17.2,2.25,83.2,9.39,1,15.32083,31.2975,15.32083
633,501-065 ,15.33833,31.5075,15.33833,31.50722,5578,389,3,7.09,0.12,32.8,2.45,87.1,10.1,1,15.33833,31.50722,15.33833
100709,I  69   ,15.35333,31.04,15.34792,31.04056,5019,188,38,0.89,0.08,6,2.4,69.5,9.01,2,15.34792,31.04056,15.34792
113895,        ,15.36792,31.19778,15.37333,31.19222,5191,179,7,1.38,0.08,9.8,2.34,69.5,9.2,1,15.37333,31.19222,15.37333
115352,        ,15.41375,35.7125,15.40417,35.70945,7744,142,3,1.25,0.06,12.2,1.92,106.5,9.52,1,15.40417,35.70945,15.40417
100712,501-068 ,15.45333,31.22972,15.44708,31.225,4904,187,9,2.94,0.08,22.3,2.16,69.5,9.52,1,15.44708,31.225,15.44708
100714,480-033 ,15.48792,26.48333,15.49333,26.48667,10064,69,13,0.6,0.05,8,2.02,139.3,9.44,1,15.49333,26.48667,15.49333
115387,        ,15.52042,35.93444,15.51375,35.93667,2236,123,6,0.74,0.05,8.1,1.85,30.6,8.21,1,15.51375,35.93667,15.51375
113808,        ,15.5525,25.53083,15.54792,25.53778,9615,47,8,0.61,0.05,9.7,2,132.9,9.4,1,15.54792,25.53778,15.54792
113896,        ,15.55375,31.3375,15.56,31.33861,4889,129,7,1.63,0.07,13.9,2.31,69.5,9.27,1,15.56,31.33861,15.56
100719,480-035 ,15.60167,26.61806,15.6,26.62139,4994,221,19,1.78,0.08,12.1,2.22,69.5,9.31,1,15.6,26.62139,15.6
100720,520-008 ,15.6325,34.27917,15.62833,34.27583,11337,283,9,3.66,0.11,19.9,2.44,157.8,10.33,1,15.62833,34.27583,15.62833
113897,        ,15.6575,31.54667,15.65417,31.54528,5625,120,4,2.23,0.1,13.4,3.39,78.8,9.51,1,15.65417,31.54528,15.65417
113898,        ,15.6625,31.77555,15.67042,31.77167,5342,170,4,1.69,0.08,12.3,2.36,74.6,9.35,1,15.67042,31.77167,15.67042
115328,        ,15.66542,35.90889,15.66458,35.8975,2205,57,6,1.55,0.05,24.2,1.87,30.2,8.52,1,15.66458,35.8975,15.66458
114033,        ,15.69625,29.06639,15.70042,29.06611,8395,145,4,1.82,0.06,16.6,2.04,115.6,9.76,1,15.70042,29.06611,15.70042
643,480-036 ,15.77542,24.96917,15.77333,24.97194,9041,279,10,4.83,0.1,28.3,2.28,124.7,10.25,1,15.77333,24.97194,15.77333
115583,        ,15.78333,35.4525,15.76958,35.44806,10436,219,32,1.26,0.07,9.6,1.99,144.9,9.79,1,15.76958,35.44806,15.76958
645,N 354   ,15.81917,22.33945,15.81875,22.34222,4660,231,4,2.24,0.09,13.4,2.46,64.7,9.34,1,15.81875,22.34222,15.81875
113747,        ,15.82292,26.64611,15.82417,26.63778,14409,118,12,0.68,0.06,7,1.98,201.4,9.81,1,15.82417,26.63778,15.82417
112506,        ,15.82833,26.79944,15.82417,26.79528,5054,128,10,1.37,0.07,12.4,2.17,70.4,9.2,1,15.82417,26.79528,15.82417
115586,        ,15.85167,34.16917,15.85042,34.16306,11243,150,3,1.42,0.07,10.8,2.38,156.4,9.91,1,15.85042,34.16306,15.85042
114034,        ,15.89625,29.33417,15.895,29.33306,14939,120,8,1.5,0.06,16.2,1.9,209.1,10.19,1,15.895,29.33306,15.895
113899,        ,15.90708,29.99944,15.90875,30.00889,6499,116,10,0.87,0.06,8.1,2.23,88.5,9.21,1,15.90875,30.00889,15.90875
113809,        ,15.91167,24.17,15.90042,24.16889,13687,213,18,1.17,0.09,7.5,2.4,191,10,1,15.90042,24.16889,15.90042
112555,        ,15.91292,31.05278,15.91417,31.04722,10480,162,4,1.37,0.08,10,2.39,145.4,9.83,1,15.91417,31.04722,15.91417
112556,        ,15.92375,32.045,15.91917,32.04778,5236,421,34,1.25,0.09,7.4,1.79,70.6,9.17,1,15.91917,32.04778,15.91917
653,        ,15.95625,31.2,15.95333,31.19833,6261,262,8,2.33,0.09,14,2.3,88.1,9.63,1,15.95333,31.19833,15.95333
652,M+403038,15.95667,22.02695,15.96083,22.02695,5666,195,3,4.11,0.08,27,2.43,105.7,10.03,1,15.96083,22.02695,15.96083
657,M+503045,15.99792,32.95945,15.99625,32.96305,4972,138,2,2.37,0.07,20.1,2.23,69.2,9.43,1,15.99625,32.96305,15.99625
113810,        ,16.03042,24.29,16.02209,24.29806,13789,209,14,1.3,0.09,8.7,2.31,192.5,10.06,1,16.02209,24.29806,16.02209
113900,        ,16.105,31.305,16.10417,31.31028,5582,29,2,2.56,0.06,44.1,2.32,78.1,9.57,1,16.10417,31.31028,16.10417
110010,Eder Dw ,16.11167,22.49333,16.11333,22.49167,5664,108,3,1.33,0.06,13.5,2.1,79.2,9.29,1,16.11333,22.49167,16.11333
112557,        ,16.11209,31.05667,16.115,31.05639,10539,203,27,0.9,0.08,6.3,2.24,146.3,9.66,1,16.115,31.05639,16.115
115587,        ,16.14708,35.74111,16.13667,35.73695,4566,121,12,0.6,0.05,6.8,1.78,63.3,8.75,1,16.13667,35.73695,16.13667
112350,        ,16.16375,32.33,16.16833,32.33028,4724,52,9,0.68,0.05,9.6,2.18,65.6,8.84,1,16.16833,32.33028,16.16833
115327,mph     ,16.17542,34.16611,16.16875,34.17306,10629,58,15,0.6,0.05,7.6,2.29,147.7,9.49,1,16.16875,34.17306,16.16875
110011,501-073 ,16.185,32.96028,16.19167,32.96722,4113,261,62,0.88,0.08,5.7,2.15,56.7,8.82,2,16.19167,32.96722,16.19167
110012,480-038 ,16.22,22.31028,16.2175,22.315,15276,70,6,0.6,0.05,6.8,2.33,213.7,9.81,1,16.2175,22.315,16.2175
112507,        ,16.23583,26.82583,16.23542,26.82667,14258,196,39,1.38,0.08,10.2,2.15,199.3,10.11,1,16.23542,26.82667,16.23542
113811,        ,16.24667,24.49306,16.24583,24.495,13885,228,15,1.71,0.09,10.1,2.5,193.9,10.18,1,16.24583,24.495,16.24583
110015,480-039 ,16.26375,22.08417,16.25792,22.08445,16467,277,3,2.93,0.09,16.9,2.33,230.7,10.57,1,16.25792,22.08445,16.25792
115636,OHMcand ,16.29458,33.27167,16.29458,33.275,6115,145,12,0.83,0.07,6.5,2.36,86,9.16,1,16.29458,33.275,16.29458
114035,        ,16.315,28.40139,16.30917,28.40333,14117,242,6,1.08,0.09,6.7,2.3,197.3,10,1,16.30917,28.40333,16.30917
669,501-075 ,16.33583,31.68139,16.32917,31.68167,5839,297,19,1.82,0.15,6.5,3.63,53.7,9.09,1,16.32917,31.68167,16.32917
113901,        ,16.34917,32.18444,16.35125,32.18056,5367,166,9,1.19,0.08,8.8,2.35,70.6,9.14,1,16.35125,32.18056,16.35125
110017,480-040 ,16.35542,24.02472,16.34333,24.0275,9211,544,12,0.98,0.15,3,2.71,127.1,9.57,2,16.34333,24.0275,16.34333
113748,        ,16.39542,27.51,16.40375,27.51222,14218,184,26,1.01,0.09,7.8,2.12,198.7,9.97,1,16.40375,27.51222,16.40375
113902,        ,16.39875,31.01944,16.3975,31.015,6773,222,7,1.78,0.08,12.6,2.11,92.5,9.55,1,16.3975,31.015,16.3975
114142,        ,16.42375,33.40834,16.41084,33.39056,4982,98,30,0.66,0.08,4.5,3.26,69.3,8.87,2,16.41084,33.39056,16.41084
110020,520-010 ,16.4325,34.99028,16.44708,34.98917,12134,260,53,1.72,0.1,9.2,2.6,169.2,10.06,1,16.44708,34.98917,16.44708
113749,        ,16.44417,26.92444,16.43875,26.92972,10115,376,51,1.4,0.12,6.5,2.47,140.1,9.81,1,16.43875,26.92972,16.43875
115368,        ,16.46583,33.06861,16.46208,33.06916,4614,142,6,0.97,0.08,7,2.6,64,8.97,1,16.46208,33.06916,16.46208
115637,        ,16.47708,33.52806,16.48167,33.52111,4332,184,7,1.57,0.11,8.1,3.19,59.9,9.12,1,16.48167,33.52111,16.48167
113812,        ,16.48375,24.56889,16.48,24.56695,13524,202,18,1.29,0.09,8.5,2.4,188.7,10.03,1,16.48,24.56695,16.48
673,501-079 ,16.54417,31.40306,16.54042,31.40583,6245,283,2,3.87,0.09,22.6,2.27,89.5,9.86,1,16.54042,31.40583,16.54042
110025,480-041 ,16.57625,25.54472,16.54958,25.55167,6710,154,6,1.65,0.07,13.9,2.13,91.4,9.51,1,16.54958,25.55167,16.54958
115588,        ,16.58917,35.38472,16.5775,35.38111,11941,199,44,1.03,0.08,8.2,2.01,166.5,9.83,1,16.5775,35.38111,16.5775
110026,520-011 ,16.59958,33.775,16.60208,33.77028,4578,157,4,1.61,0.08,11.2,2.55,63.4,9.18,1,16.60208,33.77028,16.60208
111953,        ,16.60042,33.60167,16.60125,33.60472,4301,182,9,1.75,0.09,10.9,2.66,59.4,9.16,1,16.60125,33.60472,16.60125
110030,480-043 ,16.66167,24.21278,16.66375,24.21583,11744,316,11,1.1,0.1,6,2.28,163.3,9.84,2,16.66375,24.21583,16.66375
113903,        ,16.66167,30.74278,16.65917,30.73528,5052,47,7,0.43,0.04,6.6,2.09,70.3,8.7,1,16.65917,30.73528,16.65917
113813,        ,16.75042,25.59056,16.75833,25.58306,5026,69,15,0.86,0.06,10.1,2.27,69.9,9,1,16.75833,25.58306,16.75833
112508,        ,16.75542,26.51667,16.75333,26.515,10130,167,28,1.06,0.07,8.8,2.08,140.3,9.69,1,16.75333,26.515,16.75333
112509,        ,16.7675,27.25139,16.76333,27.25444,10117,121,18,0.36,0.07,3.4,2.19,140.2,9.22,2,16.76333,27.25444,16.76333
679,M+503049,16.76583,32.39306,16.76542,32.38945,5106,188,9,2.18,0.07,17.3,2.05,54.7,9.19,1,16.76542,32.38945,16.76542
112351,        ,16.77292,31.40028,16.76958,31.39611,6282,159,2,1.61,0.07,13.1,2.19,88.4,9.47,1,16.76958,31.39611,16.76958
113904,        ,16.83292,31.36528,16.83542,31.36861,6602,158,6,1.23,0.07,9.9,2.21,90.1,9.37,1,16.83542,31.36861,16.83542
691,        ,16.89625,32.08583,16.88583,32.0925,14706,475,10,2.93,0.13,11.3,2.43,205.9,10.47,1,16.88583,32.0925,16.88583
110045,520-015 ,16.89583,34.03139,16.89833,34.03222,4526,180,3,2.11,0.08,14.1,2.48,62.7,9.29,1,16.89833,34.03222,16.89833
692,501-089 ,16.9,32.93722,16.90458,32.93917,5780,157,3,2.36,0.08,17,2.48,81,9.56,1,16.90458,32.93917,16.90458
110051,501-091 ,16.9825,33.30194,16.98875,33.30305,4210,134,5,2.13,0.07,17.8,2.3,70.5,9.4,1,16.98875,33.30305,16.98875
114036,        ,16.9925,29.44667,16.99417,29.4425,10208,296,5,2.27,0.09,14.7,2.01,141.5,10.03,1,16.99417,29.4425,16.99417
110052,501-092 ,17.00667,31.6875,17.01208,31.675,5466,31,13,0.4,0.06,5,3.09,76.4,8.74,2,17.01208,31.675,17.01208
113905,        ,17.03708,31.4025,17.03625,31.39972,6675,199,4,1.3,0.07,9.4,2.2,91.1,9.41,1,17.03625,31.39972,17.03625
114486,        ,17.06042,23.25472,17.055,23.25444,12295,166,6,1.18,0.08,8.7,2.36,171.2,9.91,1,17.055,23.25444,17.055
113841,        ,17.13208,24.66917,0,0,6616,147,6,0.85,0.07,7.3,2.14,90.1,9.21,1,17.13208,24.66917,17.13208
710,501-098 ,17.17292,33.46667,17.18542,33.46417,12454,499,4,4.63,0.21,10.9,3.81,173.7,10.52,1,17.18542,33.46417,17.18542
115638,        ,17.21667,32.39806,17.22458,32.39722,4675,79,5,0.59,0.04,7.7,1.93,70.5,8.84,1,17.22458,32.39722,17.22458
110065,501-099 ,17.22125,32.09889,17.2175,32.09972,10431,69,3,1.19,0.05,15.5,2.05,144.8,9.77,1,17.2175,32.09972,17.2175
111414,FGC125  ,17.25333,33.50834,17.25125,33.5225,11300,384,70,1.84,0.18,5.4,3.87,157.3,10.03,2,17.25125,33.5225,17.25125
714,501-103 ,17.30458,32.14806,17.30833,32.15139,4634,228,5,1.72,0.08,11.7,2.18,56.2,9.11,1,17.30833,32.15139,17.30833
112352,        ,17.31083,31.09722,17.30791,31.09083,5483,29,10,0.39,0.05,6.9,2.26,76.6,8.73,1,17.30791,31.09083,17.30791
110072,501-106 ,17.32125,33.47917,17.33208,33.47667,10582,296,9,3.63,0.14,14.1,3.36,147,10.27,1,17.33208,33.47667,17.33208
110073,501-105 ,17.33333,32.71944,17.335,32.72278,10434,149,14,1.42,0.08,12.2,2.13,144.9,9.85,1,17.335,32.72278,17.335
115589,        ,17.4075,35.55889,17.40792,35.56417,10275,178,10,0.8,0.07,7.2,1.86,142.7,9.58,1,17.40792,35.56417,17.40792
114487,        ,17.40583,23.11194,17.40958,23.11111,5994,299,7,1.03,0.08,7.3,1.82,84,9.23,1,17.40958,23.11111,17.40958
104216,        ,17.41708,34.495,17.4225,34.49833,4941,166,10,1.73,0.08,12.7,2.36,68.7,9.28,1,17.4225,34.49833,17.4225
110081,480-045 ,17.42292,23.29417,17.42292,23.29361,10232,54,8,0.5,0.05,5.1,2.96,141.7,9.37,2,17.42292,23.29361,17.42292
110079,501-108 ,17.43667,31.14,17.43792,31.13806,6503,191,6,1.78,0.08,13.6,2.1,88.7,9.52,1,17.43792,31.13806,17.43792
724,501-111 ,17.49875,32.36972,17.4975,32.36833,5177,322,3,6.36,0.09,38.1,2.08,70.4,9.87,1,17.4975,32.36833,17.4975
110085,501-112b,17.50417,32.91611,17.51,32.91333,10427,266,10,3.83,0.12,19.3,2.72,144.8,10.28,1,17.51,32.91333,17.51
114488,        ,17.54875,22.0525,17.55167,22.05,9487,362,3,2.67,0.11,13.4,2.35,131.1,10.03,1,17.55167,22.05,17.55167
115639,        ,17.55167,33.93222,17.55292,33.93528,11301,185,7,1.28,0.08,8.5,2.48,157.3,9.87,1,17.55292,33.93528,17.55292
115343,        ,17.55208,33.65,17.56542,33.64778,11327,247,38,1.51,0.1,8.5,2.54,157.7,9.95,1,17.56542,33.64778,17.56542
110756,FGC 129 ,17.56583,29.19889,17.56958,29.20056,4653,143,13,1.58,0.06,15,1.96,64.4,9.19,1,17.56958,29.20056,17.56958
114490,        ,17.56375,22.35695,17.565,22.35194,4743,166,6,0.99,0.07,7.2,2.4,65.7,9,1,17.565,22.35194,17.565
110090,501-113 ,17.5925,30.18472,17.58917,30.18389,6820,238,3,2,0.09,12.8,2.26,93.2,9.61,1,17.58917,30.18389,17.58917
115608,        ,17.63041,33.91306,17.63416,33.91278,11349,202,55,1.49,0.1,8.3,2.81,158,9.94,1,17.63416,33.91278,17.63416
113906,        ,17.63875,29.96111,17.63458,29.96,4806,97,2,3.42,0.06,34.1,2.27,66.7,9.55,1,17.63458,29.96,17.63458
115380,        ,17.63375,32.95195,17.63375,32.95028,4464,140,3,1.74,0.07,14.1,2.33,61.7,9.19,1,17.63375,32.95028,17.63375
111312,        ,17.65125,30.44583,17.65875,30.43944,10130,81,5,0.81,0.06,8,2.5,140.5,9.58,2,17.65875,30.43944,17.65875
111423,        ,17.67792,33.03528,17.685,33.03139,4673,183,8,1.04,0.08,7.2,2.39,67.6,9.05,1,17.685,33.03139,17.685
732,501-116 ,17.67916,33.56111,17.68458,33.55833,5437,265,4,2.88,0.1,15,2.62,57,9.34,1,17.68458,33.55833,17.68458
110097,480-047 ,17.72667,24.46,17.72167,24.45028,13925,96,9,0.51,0.06,5.4,2.14,194.5,9.66,2,17.72167,24.45028,17.72167
738,520-021 ,17.77375,33.83222,17.77042,33.83556,4551,135,26,1.02,0.08,7.7,2.56,63,8.98,1,17.77042,33.83556,17.77042
742,501-121 ,17.82208,31.7375,17.8225,31.74,5756,114,5,4.98,0.08,45.3,2.29,80.6,9.88,1,17.8225,31.74,17.8225
111259,IVZw40  ,17.85542,30.12194,17.85458,30.11139,6810,234,72,1.46,0.08,10.4,2.05,93,9.47,1,17.85458,30.11139,17.85458
110112,480-048b,17.8775,23.21611,17.88,23.21722,10303,365,5,3.88,0.09,22.4,2.02,142.8,10.27,1,17.88,23.21722,17.88
115609,        ,17.89792,35.88834,17.89542,35.88889,9789,133,8,1.51,0.06,15.7,1.85,135.8,9.82,1,17.89542,35.88889,17.89542
114037,        ,17.92042,29.06389,17.91708,29.06667,7648,64,21,0.72,0.06,10.2,1.95,105,9.27,1,17.91708,29.06667,17.91708
748,520-022 ,17.94,35.275,17.93167,35.27611,4851,301,2,9.74,0.1,53.8,2.33,67.3,10.02,1,17.93167,35.27611,17.93167
112544,        ,17.97333,32.47028,17.985,32.46722,4945,176,13,0.67,0.06,6.7,1.69,70.4,8.89,1,17.985,32.46722,17.985
115640,        ,17.98375,33.03528,17.99417,33.02666,4105,96,7,1.31,0.07,12.4,2.39,56.5,8.99,1,17.99417,33.02666,17.99417
114038,        ,17.99042,28.78889,17.98542,28.795,13755,215,28,1.3,0.1,8.1,2.45,192.2,10.05,1,17.98542,28.795,17.98542
112347,        ,17.99875,31.9525,18.00167,31.95306,6707,155,5,1.21,0.07,10.3,2.11,91.6,9.38,1,18.00167,31.95306,18.00167
110119,502-004 ,18.0375,32.0025,18.04333,32.00361,5243,234,10,1.17,0.08,8.2,2.07,73.8,9.18,1,18.04333,32.00361,18.04333
752,N 420   ,18.0425,32.12083,18.04042,32.12305,5013,258,18,1.29,0.1,7.2,2.48,51.3,8.9,1,18.04042,32.12305,18.04042
111262,        ,18.12333,31.99056,18.13333,31.9825,10456,222,5,1.12,0.07,8.5,1.96,145.2,9.75,1,18.13333,31.9825,18.13333
115055,        ,18.11959,32.84555,18.12375,32.85667,5773,116,9,0.7,0.06,6.2,2.31,70.4,8.91,1,18.12375,32.85667,18.12375
111431,        ,18.12125,33.33916,18.1275,33.335,4924,98,4,1.89,0.07,16.9,2.5,70.4,9.34,1,18.1275,33.335,18.1275
756,501-130 ,18.17583,32.97361,18.18,32.96944,5338,211,4,2.18,0.08,15.1,2.23,70.4,9.41,1,18.18,32.96944,18.18
114491,        ,18.215,23.47833,18.21625,23.48111,6593,161,7,0.79,0.06,7,1.97,89.8,9.18,1,18.21625,23.48111,18.21625
110128,520-025 ,18.23625,33.84055,18.24042,33.83416,14994,266,15,1.96,0.13,8.9,3.03,210.1,10.31,1,18.24042,33.83416,18.24042
113790,        ,18.24875,27.63333,18.25875,27.63694,4952,31,10,0.33,0.03,6.6,2.02,68.7,8.57,1,18.25875,27.63694,18.25875
111265,        ,18.28375,31.58556,18.28292,31.58833,16621,329,34,1.88,0.11,9.8,2.37,233.3,10.38,1,18.28292,31.58833,18.28292
113750,        ,18.29458,27.80111,18.28875,27.80111,13562,91,5,0.71,0.06,7.3,2.29,189.4,9.78,1,18.28875,27.80111,18.28875
764,        ,18.29833,34.95639,18.30208,34.96556,4738,226,16,1.71,0.09,10.6,2.38,84.3,9.46,1,18.30208,34.96556,18.30208
114513,        ,18.44917,23.4025,18.4525,23.40694,9096,183,5,1.38,0.09,8.6,2.66,125.5,9.71,1,18.4525,23.40694,18.4525
113907,        ,18.45792,30.16667,18.48417,30.15694,10271,36,5,0.48,0.04,8,2.14,142.5,9.36,1,18.48417,30.15694,18.48417
115611,        ,18.46167,35.1175,18.45375,35.11333,9818,101,14,1.19,0.08,9.9,2.65,136.2,9.72,1,18.45375,35.11333,18.45375
