optvel, fluxJy
5009.604396,-0.002160
5014.930999,-0.001630
5020.257788,-0.001500
5025.584764,-0.001341
5030.911925,-0.000424
5036.239273,0.000457
5041.566807,-0.000984
5046.894527,-0.004085
5052.222434,-0.004786
5057.550526,-0.002437
5062.878805,0.001160
5068.207271,0.002844
5073.535922,0.001276
5078.864760,0.001179
5084.193784,0.002116
5089.522994,0.000248
5094.852391,-0.001986
5100.181974,-0.003761
5105.511743,-0.003897
5110.841699,-0.001450
5116.171841,-0.000677
5121.502169,-0.002008
5126.832684,-0.002233
5132.163385,0.000561
5137.494273,0.003191
5142.825346,0.001698
5148.156607,-0.000536
5153.488054,0.000385
5158.819687,0.000960
5164.151506,0.001607
5169.483512,0.003276
5174.815705,0.002644
5180.148084,0.001147
5185.480649,0.000389
5190.813401,-0.000344
5196.146340,-0.001156
5201.479465,-0.002786
5206.812776,-0.001667
5212.146274,0.000513
5217.479959,0.001104
5222.813830,0.002659
5228.147887,0.002324
5233.482131,0.000551
5238.816562,-0.002020
5244.151179,-0.005514
5249.485983,-0.005243
5254.820974,-0.001104
5260.156151,0.000473
5265.491515,-0.000854
5270.827065,-0.001390
5276.162802,-0.000449
5281.498726,0.000053
5286.834837,-0.001693
5292.171134,-0.001701
5297.507617,0.000006
5302.844288,0.000204
5308.181145,0.000159
5313.518189,0.000290
5318.855419,0.000273
5324.192837,-0.000286
5329.530441,-0.002977
5334.868231,-0.002980
5340.206209,0.000096
5345.544373,-0.000239
5350.882724,-0.001603
5356.221262,0.000257
5361.559987,0.001758
5366.898898,0.000184
5372.237997,-0.001101
5377.577282,0.001656
5382.916754,0.004460
5388.256413,0.003500
5393.596259,0.002650
5398.936291,0.001833
5404.276511,0.001373
5409.616917,0.002170
5414.957510,0.001434
5420.298290,0.000374
5425.639257,0.000880
5430.980411,0.002021
5436.321752,0.001737
5441.663280,-0.001769
5447.004995,-0.003735
5452.346897,-0.002647
5457.688986,-0.000492
5463.031261,0.000079
5468.373724,-0.001364
5473.716374,-0.000686
5479.059211,-0.000340
5484.402235,-0.001663
5489.745445,0.000179
5495.088843,0.001781
5500.432428,-0.001523
5505.776200,-0.003152
5511.120159,-0.000032
5516.464306,0.002434
5521.808639,0.002361
5527.153159,0.002124
5532.497867,0.002427
5537.842761,0.003557
5543.187843,0.004200
5548.533112,0.001208
5553.878568,-0.002427
5559.224211,-0.001820
5564.570042,-0.000245
5569.916059,-0.002138
5575.262264,-0.003036
5580.608656,-0.000278
5585.955235,0.001529
5591.302002,0.002248
5596.648955,0.003983
5601.996096,0.004413
5607.343424,0.001545
5612.690940,-0.000345
5618.038642,0.000807
5623.386532,0.000276
5628.734610,-0.000659
5634.082874,0.000623
5639.431326,0.000323
5644.779965,-0.001810
5650.128792,-0.002882
5655.477805,-0.002742
5660.827007,-0.001815
5666.176395,-0.000096
5671.525971,0.002291
5676.875734,0.002113
5682.225685,0.000116
5687.575823,-0.001462
5692.926149,-0.003370
5698.276662,-0.001545
5703.627362,0.000692
5708.978250,0.000177
5714.329325,0.000799
5719.680588,-0.000474
5725.032038,-0.002580
5730.383676,-0.000010
5735.735501,0.002519
5741.087513,0.001211
5746.439714,-0.000897
5751.792101,-0.001359
5757.144677,0.000226
5762.497439,0.001941
5767.850390,0.000417
5773.203527,-0.000710
5778.556853,0.001311
5783.910366,0.000836
5789.264066,-0.001383
5794.617955,-0.001133
5799.972030,0.000011
5805.326294,0.000647
5810.680745,-0.000148
5816.035383,-0.001066
5821.390210,0.000327
5826.745224,0.000496
5832.100425,-0.001136
5837.455815,-0.001412
5842.811392,-0.001565
5848.167156,-0.001504
5853.523109,0.000848
5858.879249,0.002392
5864.235577,0.001546
5869.592092,-0.000614
5874.948795,-0.001103
5880.305687,0.000758
5885.662765,0.001070
5891.020032,0.001017
5896.377486,0.001946
5901.735129,0.000546
5907.092959,-0.002309
5912.450976,-0.003179
5917.809182,-0.002019
5923.167575,-0.001661
5928.526157,-0.003389
5933.884926,-0.005514
5939.243883,-0.004599
5944.603028,-0.002252
5949.962361,-0.000967
5955.321881,0.000396
5960.681590,-0.000543
5966.041486,-0.000908
5971.401571,0.000657
5976.761843,-0.001007
5982.122303,-0.002462
5987.482952,-0.000472
5992.843788,-0.000106
5998.204812,0.000983
6003.566024,0.003706
6008.927424,0.002173
6014.289012,0.000394
6019.650789,-0.001061
6025.012753,-0.001846
6030.374905,0.001149
6035.737245,0.002010
6041.099773,0.001365
6046.462490,0.002263
6051.825394,0.001025
6057.188487,-0.000478
6062.551767,0.000900
6067.915236,0.002227
6073.278893,0.001643
6078.642738,0.002492
6084.006771,0.002742
6089.370992,0.001098
6094.735402,0.001575
6100.099999,0.001518
6105.464785,0.000613
6110.829759,0.001228
6116.194921,0.000946
6121.560271,0.001248
6126.925809,0.001317
6132.291536,-0.001643
6137.657451,-0.003479
6143.023554,-0.001723
6148.389846,-0.001914
6153.756325,-0.003295
6159.122993,-0.001508
6164.489849,0.000261
6169.856894,0.001418
6175.224127,0.000111
6180.591548,-0.000529
6185.959157,0.001498
6191.326955,0.000508
6196.694941,-0.002025
6202.063116,-0.001536
6207.431478,-0.000275
6212.800030,0.000190
6218.168769,0.002145
6223.537697,0.003596
6228.906813,0.002028
6234.276118,-0.000951
6239.645611,-0.003051
6245.015293,-0.001599
6250.385163,0.000816
6255.755221,-0.000355
6261.125468,-0.000491
6266.495904,0.002646
6271.866528,0.002307
6277.237340,-0.000559
6282.608341,-0.000029
6287.979530,0.001631
6293.350908,0.001963
6298.722475,0.003401
6304.094229,0.003622
6309.466173,0.001059
6314.838305,-0.000113
6320.210626,0.001382
6325.583135,0.001829
6330.955833,-0.000248
6336.328719,-0.001576
6341.701794,-0.001452
6347.075058,-0.001554
6352.448510,-0.001361
6357.822151,0.000447
6363.195980,0.001347
6368.569998,0.000074
6373.944205,-0.000296
6379.318601,0.001646
6384.693185,0.003571
6390.067958,0.002069
6395.442919,0.001236
6400.818070,0.001575
6406.193409,-0.001046
6411.568937,-0.002979
6416.944653,-0.002043
6422.320558,-0.001322
6427.696652,-0.000331
6433.072935,0.001955
6438.449407,0.002316
6443.826067,0.001255
6449.202916,-0.000064
6454.579954,-0.000911
6459.957181,0.001631
6465.334597,0.002304
6470.712201,-0.000713
6476.089995,-0.002310
6481.467977,-0.004038
6486.846148,-0.003888
6492.224508,0.000079
6497.603057,0.002016
6502.981795,0.000930
6508.360722,-0.000269
6513.739837,-0.001555
6519.119142,-0.000985
6524.498635,-0.000519
6529.878318,-0.001215
6535.258189,0.000799
6540.638250,0.001886
6546.018499,-0.001832
6551.398937,-0.004390
6556.779565,-0.001047
6562.160381,0.001180
6567.541387,-0.002072
6572.922581,-0.003200
6578.303965,0.000363
6583.685537,0.000962
6589.067299,-0.002247
6594.449250,-0.002565
6599.831389,-0.001284
6605.213718,-0.001917
6610.596236,-0.001756
6615.978943,0.001115
6621.361840,0.001737
6626.744925,0.000694
6632.128199,0.003106
6637.511663,0.002832
6642.895316,-0.001304
6648.279158,-0.000759
6653.663189,0.001224
6659.047409,0.000702
6664.431819,-0.002564
6669.816418,-0.005268
6675.201206,-0.003349
6680.586183,-0.001738
6685.971350,-0.003228
6691.356705,-0.003234
6696.742250,-0.001066
6702.127985,-0.000111
6707.513908,0.000121
6712.900021,0.000545
6718.286323,-0.000838
6723.672815,-0.002007
6729.059495,-0.000178
6734.446365,-0.000223
6739.833425,-0.003434
6745.220674,-0.002426
6750.608112,0.000138
6755.995739,-0.000028
6761.383556,0.000384
6766.771563,0.001779
6772.159758,0.002663
6777.548144,0.002640
6782.936718,0.002512
6788.325482,0.001423
6793.714436,-0.000395
6799.103579,-0.001525
6804.492911,-0.001100
6809.882433,0.001273
6815.272144,0.002357
6820.662045,-0.000160
6826.052135,-0.000049
6831.442415,0.002053
6836.832884,0.001505
6842.223543,0.000193
6847.614392,-0.000258
6853.005430,0.000713
6858.396657,0.003166
6863.788074,0.003965
6869.179681,0.001307
6874.571477,0.000708
6879.963463,0.003326
6885.355639,0.003547
6890.748004,0.001441
6896.140559,0.001001
6901.533303,0.001391
6906.926237,-0.000773
6912.319361,-0.002765
6917.712674,-0.002653
6923.106177,-0.000955
6928.499870,0.000602
6933.893753,0.001353
6939.287825,0.001559
6944.682087,-0.000274
6950.076538,-0.002256
6955.471180,-0.002307
6960.866011,-0.000861
6966.261032,-0.000120
6971.656242,0.000456
6977.051643,0.001417
6982.447233,0.000660
6987.843013,-0.000940
6993.238983,-0.002728
6998.635143,-0.003886
7004.031492,-0.005068
7009.428032,-0.004490
7014.824761,-0.000031
7020.221680,0.002619
7025.618789,0.002701
7031.016088,0.001447
7036.413576,-0.001326
7041.811255,-0.000301
7047.209124,0.002391
7052.607182,0.002512
7058.005431,0.002678
7063.403869,0.001566
7068.802497,-0.000079
7074.201315,-0.000849
7079.600324,-0.000382
7084.999522,0.001005
7090.398910,0.001156
7095.798488,-0.001174
7101.198257,-0.004033
7106.598215,-0.001396
7111.998363,0.001867
7117.398701,0.001203
7122.799230,0.000076
7128.199948,-0.000156
7133.600857,0.001047
7139.001955,0.003252
7144.403244,0.001764
7149.804723,-0.003071
7155.206392,-0.004483
7160.608251,-0.002247
7166.010300,0.000302
7171.412539,0.001609
7176.814969,0.001679
7182.217589,0.003014
7187.620398,0.004815
7193.023398,0.005110
7198.426589,0.002722
7203.829969,-0.001591
7209.233540,-0.001149
7214.637300,0.001990
7220.041252,-0.001150
7225.445393,-0.005367
7230.849724,-0.002720
7236.254246,0.000345
7241.658958,-0.000387
7247.063861,-0.000154
7252.468953,0.002246
7257.874236,0.003501
7263.279710,0.000451
7268.685373,-0.002388
7274.091227,-0.000964
7279.497272,0.002640
7284.903506,0.003656
7290.309931,0.001453
7295.716547,0.000816
7301.123353,0.001430
7306.530349,0.000090
7311.937535,-0.002206
7317.344912,-0.002030
7322.752480,-0.000267
7328.160238,0.000232
7333.568186,-0.000402
7338.976325,0.000393
7344.384654,0.002501
7349.793174,0.002342
7355.201884,0.001144
7360.610785,0.000137
7366.019876,-0.000372
7371.429158,0.001302
7376.838630,0.001040
7382.248293,-0.002224
7387.658146,-0.004203
7393.068190,-0.003298
7398.478424,-0.001201
7403.888849,-0.000584
7409.299465,-0.001533
7414.710271,-0.001385
7420.121268,-0.000532
7425.532455,-0.001615
7430.943833,-0.002662
7436.355402,-0.001600
7441.767161,-0.000447
7447.179111,-0.000985
7452.591252,-0.001080
7458.003583,0.000671
7463.416106,0.001475
7468.828818,0.000606
7474.241722,0.000733
7479.654816,0.000522
7485.068101,-0.001006
7490.481576,-0.000567
7495.895243,0.000411
7501.309100,-0.000183
7506.723148,-0.000875
7512.137386,-0.001016
7517.551816,-0.000622
7522.966436,-0.000149
7528.381247,0.000513
7533.796249,0.000836
7539.211442,0.001770
7544.626825,0.001582
7550.042400,-0.003164
7555.458165,-0.004477
7560.874121,-0.000459
7566.290268,0.000190
7571.706606,-0.000335
7577.123135,0.000631
7582.539854,0.001381
7587.956765,0.001358
7593.373867,-0.003702
7598.791159,-0.007011
7604.208643,-0.004703
7609.626317,-0.001617
7615.044182,0.002965
7620.462239,0.004927
7625.880486,0.002162
7631.298924,0.000791
7636.717554,0.002372
7642.136374,0.001075
7647.555385,-0.000728
7652.974588,0.001493
7658.393981,0.002521
7663.813566,-0.000246
7669.233342,-0.002608
7674.653308,-0.002319
7680.073466,-0.001436
7685.493815,0.000346
7690.914355,0.003014
7696.335086,0.005647
7701.756008,0.005555
7707.177122,0.002235
7712.598426,0.001641
7718.019922,0.002179
7723.441609,0.002021
7728.863487,0.001191
7734.285556,-0.001554
7739.707817,-0.001972
7745.130268,0.000615
7750.552911,0.001342
7755.975745,0.000452
7761.398771,0.001031
7766.821987,0.000061
7772.245395,-0.000332
7777.668994,0.001638
7783.092785,-0.000225
7788.516766,-0.003043
7793.940939,-0.003711
7799.365304,-0.003052
7804.789859,-0.001255
7810.214606,-0.000392
7815.639545,-0.000008
7821.064675,0.002466
7826.489996,0.003642
7831.915508,0.000221
7837.341212,-0.001901
7842.767107,-0.002472
7848.193194,-0.004622
7853.619472,-0.003889
7859.045941,-0.001488
7864.472602,-0.002069
7869.899454,-0.002152
7875.326498,-0.000655
7880.753733,-0.001427
7886.181160,-0.003041
7891.608778,0.000219
7897.036588,0.004072
7902.464589,0.004262
7907.892782,0.004248
7913.321166,0.002841
7918.749742,0.001532
7924.178510,-0.000072
7929.607468,-0.001934
7935.036619,-0.000321
7940.465961,0.002565
7945.895495,0.003436
7951.325220,0.001391
7956.755137,0.002315
