AGCnum,SrcName,RAdeg,Decdeg,wappfile,#pr,d/n,quad,cont,ord,Xsmo,rms,fit,W50,Werr,Vsys,Flux,SN,Wqual,Comment
124897,S023825.4+355139,39.60583,35.86083,wapp.20151128.a2982.0024,1,d,2,1.13141,0,h3,1.09953,2p,201.37148,9.7396672,4698.7639,0.8917653,9.4227808,U,
124902,S024648.7+360946,41.70292,36.16278,wapp.20151128.a2982.0025,1,d,2,0.859223,0,h3,1.14763,2p,117.59168,11.303358,5054.0397,0.38336252,5.0787076,U,
124611,S024715.6+335932,41.815,33.99222,wapp.20151130.a2982.0024,1,d,3,0.558825,2,h3,1.02494,2p,238.06008,2.2083426,8518.5561,1.6828478,17.934223,Y,
124903,S024822.4+340612,42.09333,34.10333,wapp.20161017.a3064.0008,1,d,2,8.27081,1,h3,1.13458,2p,88.441199,6.8542239,5135.4966,0.83066946,14.011872,U,
125245,S025139.7+334648,42.91542,33.78,wapp.20151125.a2982.0022,1,d,2,-7.99658,3,h3,1.07394,2p,97.793937,3.7173395,4331.9873,0.79613605,14.107406,U,
131363,S030156.6+280042,45.48708,28.02139,wapp.20151026.a2982.0006,1,d,2,-7.58742,1,h3,1.25632,2p,113.26146,5.1299509,5601.0716,0.73251921,9.0963239,Y,
323100,S222012.7+331832,335.05295,33.30889,wapp.20151127.a2982.0003,1,d,2,3.89978,1,h3,1.0141,2p,78.729934,3.1597749,6370.0458,0.60195674,11.676625,Y,
322064,H222601.7+225346,336.50708,22.90556,wapp.20141127.a2899.0000,1,d,1,-68.1419,3,h3,1.08989,g,27.365494,2.9054142,1274.673,0.34891626,10.829915,Y,
323102,S224812.0+324145,342.04999,32.69584,wapp.20151127.a2982.0004,1,d,2,-16.2055,1,h3,1.22657,2p,58.880589,4.6561626,6836.1309,0.39623484,8.2522101,Y,
322668,S225253.6+332236,343.22333,33.37666,wapp.20151127.a2982.0005,1,d,2,-9.27658,2,h3,1.13273,g,47.717795,1.4174469,6382.7266,0.67135675,16.599727,U,
322636,S225912.7+242318,344.8029,24.3883,wapp.20151024.a2982.0010,,n,,,,,,,,,,,,,
335255,S230515.3+342514,346.31375,34.42056,wapp.20151130.a2982.0009,1,d,2,-198.002,3,h3+5cb,4.53363,2p,78.01437,5.9565799,5941.2396,0.62444557,8.7993891,U,"Very noisy data, hard to fit the baseline, continum sounds crazy! "
336113,S230625.5+324302,346.60626,32.71722,wapp.20151127.a2982.0006,1,d,2,-10.1548,2,h3,1.10649,2p,120.65656,7.8405042,6253.7911,0.65766608,10.362274,U,weird left and right edge emission fit 
335256,S231828.9+342205,349.62042,34.36805,wapp.20151127.a2982.0007,1,d,2,29.9056,1,h3,4.25875,2p,86.660289,18.662973,5277.1546,0.26773466,3.5882827,U,
333235,S234644.0+263817,356.68332,26.63806,wapp.20151130.a2982.0010,1,d,3,-6.10905,0,h3,0.940563,2p,73.494285,15.82158,8252.0625,0.32317544,6.70496,U,
335587,S235050.9+360132,357.7121,36.02555,wapp.20161015.a3064.0011,1,d,3,-0.527706,1,h3,1.25739,2p,160.51431,12.507326,8458.2229,0.86253809,9.3977218,U,
